ID,econ_hard,sex,age,race,depress,mastery,treat,employ,occp,marital,educ,income,jobseek_se
105,2.329999924,1,39.09589005,1,1,4.699999809,1,1,laborers/service wrks,divrcd,bach,15t24k,5
109,4,1,30.12876701,1,3.272727251,3.402777672,0,1,manegerial,nevmarr,bach,25t39k,4.333333492
120,3.329999924,1,48.65479279,1,1,3.933333397,1,1,professionals,married,somcol,50k+,4
121,4.329999924,1,42.83561707,1,1.454545498,4.355555534,1,1,clerical/kindred,married,highsc,50k+,4.666666508
123,2.670000076,0,34.16438293,1,2.454545498,3.575000048,1,0,clerical/kindred,married,somcol,15t24k,3.5
126,1.669999957,1,46.98356247,1,1,4.483333111,0,1,professionals,nevmarr,somcol,lt15k,5
139,2,1,28.58904076,1,1.181818128,3.672222137,1,0,laborers/service wrks,nevmarr,highsc,lt15k,3.166666746
154,1.669999957,1,20.40274048,1,1.181818128,4.241666794,1,1,clerical/kindred,nevmarr,somcol,50k+,4.5
159,4.670000076,1,31.90684891,1,1.909090877,3.416666746,0,0,clerical/kindred,separtd,highsc,lt15k,3.5
178,4.329999924,0,48.4137001,1,1.272727251,3.520833254,1,0,laborers/service wrks,separtd,highsc,lt15k,3.666666746
190,4.670000076,1,25.12876701,1,1.454545498,4.127777576,0,1,clerical/kindred,separtd,somcol,lt15k,4.333333492
195,3.329999924,1,33.78082275,1,1,3.099999905,1,0,clerical/kindred,nevmarr,lt-hs,lt15k,1.5
196,2,1,41.54794693,1,1.454545498,4.191666603,1,1,operatives/kindred wrks,divrcd,highsc,15t24k,5
197,3.670000076,0,44.4931488,1,3.454545498,3.169444561,1,0,operatives/kindred wrks,divrcd,lt-hs,25t39k,3.333333254
207,3.329999924,1,44.20547867,1,1.545454502,4.033333302,1,1,operatives/kindred wrks,divrcd,highsc,lt15k,4
209,3.670000076,0,43.81917953,1,1.272727251,3.650000095,1,0,laborers/service wrks,married,lt-hs,25t39k,3
211,3.670000076,1,56.38356018,1,1.272727251,3.424999952,1,0,laborers/service wrks,divrcd,highsc,lt15k,3
213,5,1,34.70137024,1,3.181818247,3.969444513,1,1,craftsmen/foremen/kindred,nevmarr,lt-hs,lt15k,4.833333492
214,5,1,51.56712341,1,2.545454502,3.438888788,1,0,clerical/kindred,married,somcol,15t24k,3.166666746
216,2.329999924,1,29.01369858,1,1.272727251,4.150000095,1,1,laborers/service wrks,nevmarr,highsc,25t39k,4
217,1.669999957,1,45.41643906,1,1,3.794444561,0,0,clerical/kindred,married,highsc,15t24k,3.333333254
220,3.329999924,0,37.26301193,1,2.181818247,3.636111021,1,0,operatives/kindred wrks,married,lt-hs,15t24k,3.833333254
222,1.669999957,1,33.41095734,1,1.545454502,4.211111069,1,1,clerical/kindred,married,somcol,15t24k,4.333333492
224,3.329999924,0,36.98356247,1,1.181818128,3.916666746,1,0,operatives/kindred wrks,separtd,somcol,15t24k,3.5
227,4.329999924,1,30.93424606,1,1,3.733333349,1,1,sales workers,divrcd,bach,25t39k,5
251,3.670000076,1,36.2219162,1,2.090909004,3.738888979,1,1,clerical/kindred,divrcd,somcol,25t39k,4.666666508
261,3.670000076,0,40.40821838,1,2.090909004,3.711111069,1,0,operatives/kindred wrks,married,somcol,40t49k,3.833333254
262,3,1,33.44657516,1,1,4.413888931,1,1,clerical/kindred,married,somcol,50k+,4.666666508
264,4,0,39.03287506,1,1.272727251,3.733333349,1,0,operatives/kindred wrks,married,highsc,50k+,3.5
265,3.670000076,0,49.5369873,1,2.545454502,2.966666698,1,0,operatives/kindred wrks,separtd,lt-hs,lt15k,3
272,2.670000076,1,32.53424835,1,1.727272749,4.300000191,1,1,operatives/kindred wrks,divrcd,somcol,15t24k,4.5
273,4,1,43.75616455,1,1.636363626,2.941666603,0,0,operatives/kindred wrks,married,somcol,25t39k,2
279,2.329999924,0,21.4136982,1,2.181818247,3.622222185,1,0,sales workers,nevmarr,somcol,lt15k,3.666666746
281,2.670000076,0,56.10958862,1,1.363636374,3.838888884,0,0,professionals,married,gradwk,50k+,3.666666746
282,3,1,35.9753418,1,1,4.400000095,1,1,professionals,married,bach,15t24k,4.5
291,2.329999924,1,23.709589,1,2.545454502,3.469444513,1,1,clerical/kindred,nevmarr,highsc,25t39k,4.333333492
293,1,1,26.03835678,1,1.272727251,3.855555534,1,1,craftsmen/foremen/kindred,married,bach,40t49k,4.166666508
299,3.329999924,0,25.57808304,1,1.454545498,5,0,1,manegerial,nevmarr,somcol,15t24k,5
300,4,1,31.01369858,1,1.272727251,4.425000191,0,1,clerical/kindred,divrcd,somcol,lt15k,5
301,4,0,27.8027401,1,2.363636255,3.636111021,1,0,operatives/kindred wrks,nevmarr,somcol,lt15k,3.833333254
303,2.670000076,1,35.37260437,1,1.727272749,4.066666603,1,1,professionals,nevmarr,somcol,15t24k,4
318,3.329999924,0,31.92328835,1,1.636363626,3.263888836,1,0,craftsmen/foremen/kindred,nevmarr,somcol,25t39k,2.666666746
347,4.329999924,0,27.13698578,1,1.090909123,4.574074268,1,1,clerical/kindred,married,highsc,15t24k,4.833333492
352,3.329999924,0,58.60821915,1,1.090909123,4.127777576,0,0,clerical/kindred,married,highsc,15t24k,3.833333254
364,4.670000076,1,27.70137024,1,1.454545498,3.422222137,1,0,clerical/kindred,married,somcol,lt15k,2.666666746
380,3,1,32.05205536,1,2.636363745,2.86944437,1,0,operatives/kindred wrks,nevmarr,highsc,15t24k,2.333333254
386,3.329999924,0,23.06301308,1,1,4.358333111,1,1,laborers/service wrks,nevmarr,lt-hs,lt15k,5
387,1.330000043,1,32.92054749,1,1.272727251,4.125,1,1,manegerial,married,somcol,50k+,4.5
388,3,1,26.92328835,1,3,3.208333254,0,0,laborers/service wrks,married,somcol,25t39k,3.5
391,3.329999924,1,39.83287811,1,1.818181872,3.722222328,0,0,clerical/kindred,divrcd,somcol,lt15k,3.666666746
392,2,0,24.20547867,1,1,4.533333302,0,1,operatives/kindred wrks,nevmarr,bach,lt15k,5
394,3.329999924,1,28.76712418,1,1.545454502,3.930555582,0,1,clerical/kindred,nevmarr,somcol,lt15k,4.666666508
395,1.669999957,1,47.83835602,1,1.818181872,4.327777863,1,1,clerical/kindred,married,somcol,25t39k,4.833333492
400,1.669999957,0,52.098629,1,1.727272749,3.055555582,1,0,craftsmen/foremen/kindred,married,highsc,40t49k,1.166666627
404,3.329999924,1,42.87945175,1,1.090909123,4.080555439,1,1,laborers/service wrks,married,highsc,50k+,4.166666508
406,1,1,34.7780838,1,1.090909123,4.25555563,1,1,manegerial,nevmarr,somcol,25t39k,4.166666508
428,3.329999924,0,23.20000076,1,1.363636374,4.441666603,0,1,professionals,nevmarr,somcol,25t39k,4.5
438,2.329999924,0,29.50411034,1,1,4.233333111,1,1,manegerial,married,bach,40t49k,4
442,1.669999957,1,24.35890388,1,1,4.099999905,0,1,clerical/kindred,nevmarr,somcol,50k+,4
466,3.329999924,1,27.43013763,1,1.727272749,4.061110973,1,0,manegerial,nevmarr,gradwk,lt15k,3.833333254
470,4.329999924,0,37.7287674,1,1.545454502,3.644444466,0,0,laborers/service wrks,divrcd,highsc,lt15k,3.333333254
472,3,1,29.709589,1,2.090909004,4.391666889,1,1,clerical/kindred,separtd,somcol,25t39k,5
482,3,0,24.63835526,1,1.090909123,3.997222185,1,1,laborers/service wrks,nevmarr,highsc,25t39k,4.166666508
488,4.329999924,1,47.02739716,1,1.363636374,4.038888931,1,1,professionals,divrcd,bach,lt15k,4.666666508
492,2.329999924,1,35.70684814,1,1.090909123,4.044444561,1,1,laborers/service wrks,divrcd,somcol,lt15k,4.833333492
494,3,1,26.27397346,1,1.727272749,4.288888931,1,1,professionals,nevmarr,highsc,25t39k,4.166666508
496,3.670000076,0,39.27671051,1,2.545454502,2.625,1,0,operatives/kindred wrks,divrcd,lt-hs,25t39k,2.5
503,1,1,40.08766937,1,1.181818128,4.177777767,0,0,operatives/kindred wrks,divrcd,somcol,50k+,3.833333254
507,2.670000076,1,39.79999924,1,1,3.819444418,0,0,operatives/kindred wrks,nevmarr,highsc,25t39k,3.333333254
514,3.329999924,0,30.7589035,1,2.181818247,3.597222328,1,0,operatives/kindred wrks,nevmarr,highsc,lt15k,3.666666746
532,5,0,49.8520546,1,2.272727251,3.775000095,1,1,sales workers,divrcd,highsc,15t24k,4
537,2,0,39.12054825,1,3.545454502,3.455555439,1,1,operatives/kindred wrks,nevmarr,somcol,25t39k,4.666666508
542,3,1,51.33424759,1,1,4.25555563,1,1,laborers/service wrks,married,highsc,25t39k,4.666666508
544,1.330000043,0,42.80273819,1,1.454545498,4.511111259,1,0,professionals,married,gradwk,50k+,3.833333254
545,2.670000076,0,27.79452133,1,1.909090877,2.477777719,1,0,operatives/kindred wrks,nevmarr,somcol,lt15k,1.833333373
549,2.670000076,0,25,1,1.363636374,3.230555534,1,0,operatives/kindred wrks,nevmarr,highsc,lt15k,2.666666746
556,2.670000076,0,37.71780777,1,1.363636374,4.272222042,0,1,craftsmen/foremen/kindred,separtd,highsc,25t39k,4.666666508
558,4.670000076,1,24.82739639,1,1,4.491666794,0,1,clerical/kindred,nevmarr,highsc,lt15k,5
561,2.670000076,0,44.86849213,1,1.090909123,2.794444561,0,0,professionals,married,somcol,50k+,3.333333254
604,3.329999924,0,48.21369934,1,1,4.480555534,1,1,manegerial,married,somcol,50k+,4.666666508
611,3,0,39.76986313,1,1.272727251,3.536111116,1,0,laborers/service wrks,married,bach,15t24k,3.833333254
620,2.670000076,0,35.89588928,1,1.636363626,3.727777719,1,0,professionals,married,gradwk,40t49k,3.833333254
628,1,1,37.30411148,1,1,4.866666794,1,1,sales workers,nevmarr,bach,25t39k,5
629,4.329999924,0,55.35342407,1,1.727272749,3.736111164,1,0,operatives/kindred wrks,married,somcol,lt15k,3.333333254
633,4,1,32.70410919,1,1.363636374,4.413888931,0,1,professionals,nevmarr,bach,lt15k,4.666666508
643,3,1,38.98630142,1,1.636363626,3.786111116,0,1,laborers/service wrks,married,highsc,25t39k,4.333333492
654,2,1,28.70685005,1,1.818181872,4.327777863,1,1,professionals,nevmarr,gradwk,lt15k,4.833333492
659,4,1,33.72602844,1,1.818181872,3.538888931,0,0,professionals,nevmarr,somcol,25t39k,3.666666746
667,3.670000076,0,30.00821877,1,1.727272749,4.044444561,1,1,laborers/service wrks,married,highsc,lt15k,4.333333492
673,3.329999924,1,24.09315109,1,2.636363745,3.308333397,1,1,clerical/kindred,nevmarr,highsc,lt15k,4
684,3.329999924,0,48.5862999,1,1.181818128,4.511111259,0,1,professionals,married,highsc,50k+,4.833333492
686,4.329999924,0,31.86575317,1,1.636363626,3.833333254,1,1,professionals,married,somcol,25t39k,4
692,2,1,24.69315147,1,1.090909123,3.906746149,1,1,laborers/service wrks,nevmarr,highsc,lt15k,4.666666508
694,3,0,30.4630146,1,1,4.436110973,1,1,sales workers,married,gradwk,50k+,4.833333492
698,3,0,32.95616531,1,1.272727251,4.36944437,1,1,laborers/service wrks,nevmarr,somcol,15t24k,4.333333492
699,4,0,31.99452019,1,1.545454502,3.261111021,0,0,operatives/kindred wrks,nevmarr,somcol,lt15k,3.333333254
704,4,0,40.55068588,1,2,3.408333302,0,0,manegerial,married,gradwk,lt15k,3
708,3.329999924,1,46.7287674,1,3.090909004,4.111111164,0,1,operatives/kindred wrks,divrcd,highsc,lt15k,4.333333492
713,3.670000076,1,34.87397385,1,1,4.666666508,1,1,clerical/kindred,nevmarr,somcol,15t24k,5
715,3.329999924,0,53.58356094,1,1.727272749,3.816666603,1,1,professionals,married,gradwk,25t39k,4
722,4.329999924,1,22.22739792,1,1.181818128,4.449999809,0,1,sales workers,nevmarr,somcol,50k+,5
726,2.329999924,0,32.73150635,1,1.181818128,4.430555344,1,1,professionals,divrcd,bach,25t39k,4.166666508
728,3.670000076,1,26.86301422,1,1.454545498,4.402777672,1,1,clerical/kindred,nevmarr,somcol,lt15k,4.833333492
758,3.329999924,1,39.8767128,1,1.636363626,3.25,0,0,laborers/service wrks,nevmarr,somcol,25t39k,2.5
759,4.329999924,1,20.76164436,1,1.363636374,3.611111164,1,0,clerical/kindred,nevmarr,somcol,lt15k,3.833333254
778,3.670000076,0,28.9753418,1,1.818181872,4.041666508,1,1,sales workers,nevmarr,somcol,50k+,5
790,4.329999924,1,41.26027298,1,2.454545498,3.416666746,1,1,operatives/kindred wrks,married,bach,15t24k,4
791,5,1,47.47397232,1,2.454545498,4.336111069,1,1,clerical/kindred,divrcd,somcol,25t39k,4.333333492
801,2.329999924,0,30.14520454,1,1.272727251,3.161111116,1,0,craftsmen/foremen/kindred,nevmarr,lt-hs,50k+,3.333333254
802,2.670000076,0,37.4931488,1,1.181818128,3.722222328,0,0,laborers/service wrks,divrcd,highsc,25t39k,3.666666746
803,3.670000076,0,22.94246483,1,1.727272749,4.194444656,0,1,laborers/service wrks,married,somcol,lt15k,4.333333492
806,3,1,27.2410965,1,1.090909123,4.038888931,0,0,professionals,married,gradwk,50k+,3.666666746
809,2.670000076,1,28.76712418,1,2.818181753,3.833333254,1,1,operatives/kindred wrks,nevmarr,highsc,lt15k,5
819,2.670000076,1,40.48493195,1,2.272727251,3.863888979,0,1,operatives/kindred wrks,nevmarr,highsc,25t39k,4.666666508
820,1,1,32.87945175,1,1.545454502,3.769444466,1,0,operatives/kindred wrks,married,somcol,50k+,2.833333254
828,2.670000076,0,35.5068512,1,1,4.038888931,1,0,operatives/kindred wrks,married,highsc,15t24k,3.166666746
834,4.670000076,1,37.90684891,1,1,4.74444437,1,1,manegerial,divrcd,somcol,lt15k,4.833333492
842,2.670000076,1,21.74520493,1,1.181818128,4.241666794,0,1,manegerial,nevmarr,somcol,15t24k,4.5
843,2.670000076,1,33.89041138,1,2.636363745,3.311111212,0,0,laborers/service wrks,nevmarr,highsc,lt15k,2.333333254
847,2,1,38.19726181,1,2,3.794444561,1,1,professionals,married,somcol,40t49k,4.333333492
848,2.670000076,0,23.89315033,1,1.363636374,4.197222233,1,1,craftsmen/foremen/kindred,nevmarr,somcol,25t39k,4.666666508
858,4,0,48.95068359,1,2.090909004,3.947222233,1,1,manegerial,married,gradwk,50k+,4.666666508
860,2.329999924,0,22.90684891,1,1.090909123,4.205555439,0,1,professionals,married,somcol,25t39k,4.166666508
862,4.329999924,1,55.97260284,1,1.090909123,4.469444275,1,1,professionals,married,somcol,25t39k,4.833333492
863,1.330000043,1,26.58082199,1,1.272727251,3.955555439,0,0,craftsmen/foremen/kindred,married,somcol,25t39k,3.166666746
865,5,1,44.87945175,1,2.090909004,3.886111021,1,0,clerical/kindred,nevmarr,somcol,lt15k,3.833333254
871,4,1,30.12054825,1,2.363636255,3.522222281,0,1,manegerial,married,somcol,40t49k,4.166666508
878,1.669999957,1,29.07945251,1,1.636363626,3.191666603,1,0,craftsmen/foremen/kindred,nevmarr,highsc,lt15k,3.200000048
879,3.670000076,1,33.46027374,1,2.090909004,4.363888741,0,1,clerical/kindred,married,somcol,25t39k,4.666666508
882,5,0,31.86027336,1,2.727272749,3.786111116,1,1,clerical/kindred,married,somcol,lt15k,4.333333492
904,3,0,32.15890503,1,2.454545498,3.263888836,1,0,clerical/kindred,nevmarr,somcol,40t49k,3.166666746
909,2.329999924,1,33.87123108,1,1.181818128,4.699999809,1,1,manegerial,nevmarr,bach,25t39k,5
924,4,1,44.61369705,1,2.545454502,4.436110973,1,1,craftsmen/foremen/kindred,married,somcol,25t39k,4.833333492
932,2,1,33.00273895,1,1.909090877,4.571428776,0,1,operatives/kindred wrks,married,highsc,50k+,5
933,4.670000076,1,28.78082275,1,2.909090996,3.245370388,0,0,laborers/service wrks,nevmarr,somcol,lt15k,3.666666746
942,2,0,44.63287735,1,1.363636374,3.888888836,1,0,operatives/kindred wrks,married,somcol,50k+,3.166666746
952,4,1,36.6356163,1,1.272727251,4.050000191,1,1,manegerial,nevmarr,highsc,15t24k,4.5
959,3,1,23.06027412,1,1,4.322222233,1,1,clerical/kindred,nevmarr,somcol,lt15k,4.666666508
963,3.329999924,1,35.51780701,1,1,4.433333397,1,1,operatives/kindred wrks,married,somcol,lt15k,5
965,2.670000076,0,24.11506844,1,1.090909123,3.977777719,1,0,laborers/service wrks,nevmarr,highsc,25t39k,3.833333254
970,4.670000076,1,25.71780777,1,3.909090996,3.891666651,1,1,laborers/service wrks,nevmarr,highsc,15t24k,5
976,4.329999924,1,23.10958862,1,1.454545498,4.599999905,1,1,clerical/kindred,nevmarr,highsc,lt15k,5
977,4.329999924,1,42.51506805,1,2.090909004,3.633333445,1,1,craftsmen/foremen/kindred,separtd,somcol,lt15k,4
980,3,0,37.19726181,1,1.272727251,3.788888931,0,1,laborers/service wrks,married,lt-hs,15t24k,4.666666508
981,4.670000076,0,31.35068512,1,3.200000048,3.491666555,0,1,manegerial,separtd,gradwk,40t49k,5
982,5,1,39.44383621,1,2.545454502,3.791666746,1,1,laborers/service wrks,married,somcol,15t24k,4
985,4,0,32.42465591,1,1,4.199999809,1,1,manegerial,married,somcol,40t49k,4.5
986,5,0,39.72054672,1,4.363636494,2.111111164,0,0,manegerial,married,somcol,50k+,1.333333373
989,3.670000076,0,27.99726105,1,1,4.066666603,0,1,clerical/kindred,married,somcol,40t49k,4
990,3,0,23.16986275,1,1.636363626,4.233333111,1,1,laborers/service wrks,nevmarr,highsc,25t39k,4
994,4,1,29.73698616,1,1,4.699999809,0,1,clerical/kindred,married,somcol,15t24k,5
999,4.670000076,0,31.65753365,1,1.363636374,4.436110973,1,1,clerical/kindred,nevmarr,bach,25t39k,4.833333492
1002,3.670000076,1,32.89862823,1,1.454545498,3.969444513,0,0,clerical/kindred,married,somcol,40t49k,2.833333254
1006,4.670000076,1,61.56438446,1,1.272727251,4.844444275,1,1,professionals,widowed,gradwk,40t49k,4.833333492
1013,4.329999924,1,58.16986465,1,1.181818128,4.486111164,1,1,professionals,separtd,gradwk,lt15k,5
1017,3.670000076,0,37.901371,1,1.181818128,3.38055563,0,1,manegerial,married,gradwk,15t24k,4.166666508
1039,3.329999924,0,43.098629,1,3.090909004,3.372222185,0,0,laborers/service wrks,married,highsc,lt15k,3.666666746
1043,3,0,30.07671165,1,1.818181872,4.224999905,1,1,laborers/service wrks,nevmarr,somcol,lt15k,5
1050,4.329999924,1,26.82465744,1,4.272727489,2.980555534,1,0,laborers/service wrks,nevmarr,lt-hs,lt15k,3.166666746
1059,3.670000076,1,20.66301346,1,2,3.955555439,0,0,laborers/service wrks,nevmarr,somcol,lt15k,3.666666746
1063,2.670000076,1,35.06849289,1,1,4.20370388,1,0,clerical/kindred,married,bach,25t39k,3.5
1066,4,1,21.05205536,1,2.636363745,3.041666746,1,0,laborers/service wrks,nevmarr,highsc,lt15k,3
1067,3.329999924,0,37.00273895,1,3.636363745,3.397222281,0,1,manegerial,nevmarr,highsc,lt15k,4.166666508
1069,3.329999924,0,30.93424606,1,2.272727251,4.163888931,1,0,professionals,married,gradwk,15t24k,3.666666746
1070,4,1,41.47945023,1,1.636363626,4.555555344,1,1,clerical/kindred,divrcd,somcol,lt15k,4.166666508
1075,1.669999957,1,22.93424606,1,1,3.712962866,1,1,sales workers,nevmarr,somcol,50k+,4
1079,2.329999924,1,32.67397308,1,2.272727251,4.395833492,1,1,professionals,separtd,somcol,25t39k,4.666666508
1080,4,1,23.0493145,1,1.545454502,3.091666698,1,0,craftsmen/foremen/kindred,nevmarr,somcol,25t39k,2
1083,5,0,41.46575165,1,2.727272749,3.308333397,1,0,laborers/service wrks,divrcd,highsc,lt15k,3.5
1087,1.330000043,0,27.39178085,1,1.181818128,3.911111116,0,0,laborers/service wrks,married,lt-hs,lt15k,3.833333254
1098,1.669999957,1,38.96986389,1,1.454545498,3.875,1,0,clerical/kindred,nevmarr,somcol,15t24k,3.5
1099,3,1,36.77260208,1,1.818181872,3.6875,0,1,laborers/service wrks,married,somcol,25t39k,4
1103,4,1,44.35890579,1,1.363636374,4.516666889,1,1,clerical/kindred,divrcd,somcol,15t24k,5
1107,3.329999924,1,31.98356247,1,2.636363745,3.605555534,1,0,clerical/kindred,married,somcol,25t39k,3.166666746
1109,4,1,46.45205307,1,2.181818247,3.661111116,1,0,craftsmen/foremen/kindred,married,highsc,50k+,3.333333254
1111,3.329999924,0,32.59999847,1,2.090909004,3.163888931,0,0,professionals,married,gradwk,15t24k,3.666666746
1112,3.329999924,1,48.52054977,1,2.299999952,3.219444513,1,0,clerical/kindred,divrcd,highsc,15t24k,3.333333254
1114,2,0,38.52328873,1,1.454545498,4.102777958,1,0,clerical/kindred,married,somcol,40t49k,3.833333254
1117,2.329999924,0,37.72054672,1,1,3.866666555,0,0,operatives/kindred wrks,married,highsc,lt15k,3
1119,4,1,43.32602692,1,4.090909004,4.308333397,1,1,clerical/kindred,married,somcol,lt15k,5
1122,4,0,26.89041138,1,1.454545498,5,1,1,manegerial,nevmarr,highsc,15t24k,5
1123,3.670000076,0,37.43835449,1,1,4.222222328,1,1,operatives/kindred wrks,nevmarr,somcol,lt15k,4.166666508
1125,5,1,43.30685043,1,1.727272749,3.802777767,1,0,clerical/kindred,widowed,somcol,15t24k,3.833333254
1126,3,1,38.83013535,1,1.272727251,3.802777767,0,0,sales workers,married,gradwk,25t39k,3.333333254
1154,2.329999924,0,26.66849327,1,1.454545498,3.916666746,1,0,clerical/kindred,nevmarr,somcol,15t24k,3.833333254
1174,2.670000076,0,35.44383621,1,1.363636374,3.75,1,1,professionals,nevmarr,somcol,lt15k,4
1180,3,0,30.76986313,1,1,4.599999905,1,1,sales workers,nevmarr,somcol,15t24k,5
1182,5,0,37.25205612,1,2,3.674999952,1,1,clerical/kindred,divrcd,somcol,lt15k,4.5
1185,1.330000043,0,42.26027298,1,1,3.854166746,1,0,craftsmen/foremen/kindred,married,highsc,25t39k,3.333333254
1190,5,0,44.56164551,1,2.400000095,3.270833254,1,0,professionals,married,gradwk,15t24k,3.166666746
1191,5,1,39.09315109,1,2.090909004,3.436111212,0,1,professionals,separtd,bach,lt15k,4.333333492
1193,5,0,37.91506958,1,1.818181872,3.597222328,0,0,operatives/kindred wrks,divrcd,lt-hs,15t24k,3.666666746
1195,4,0,36.00822067,1,1.727272749,2.566666603,1,0,operatives/kindred wrks,married,somcol,40t49k,1.5
1202,3.329999924,1,38.2657547,1,1.090909123,4.50555563,1,1,clerical/kindred,nevmarr,highsc,lt15k,4.666666508
1206,4.670000076,0,51.15616608,1,1.272727251,4.525000095,1,1,manegerial,married,bach,40t49k,5
1225,3.670000076,0,41.70959091,1,1,4.933333397,0,1,operatives/kindred wrks,divrcd,highsc,40t49k,5
1229,3,0,34.92054749,1,2,3.886111021,1,1,professionals,nevmarr,gradwk,15t24k,4.333333492
1230,2.329999924,0,21.86849403,1,1.363636374,3.813888788,0,1,operatives/kindred wrks,nevmarr,somcol,lt15k,4.166666508
1231,3.670000076,0,37.99726105,1,1.090909123,4.038888931,1,1,laborers/service wrks,nevmarr,highsc,lt15k,4.166666508
1232,4.329999924,1,22.5369854,1,2.545454502,4.002777576,1,1,clerical/kindred,nevmarr,somcol,lt15k,4.333333492
1233,3.670000076,1,34.80821991,1,1.181818128,4.355555534,1,1,manegerial,married,bach,50k+,4.666666508
1242,4.329999924,1,21.79452133,1,2.363636255,3.344444513,0,0,professionals,nevmarr,bach,lt15k,3.833333254
1244,1.669999957,1,45.4630127,1,1.545454502,3.383333445,0,0,sales workers,married,somcol,50k+,3
1248,5,1,29.72328758,1,1.272727251,3.900000095,0,1,laborers/service wrks,separtd,highsc,lt15k,5
1249,2.329999924,1,32.06575394,1,1.799999952,3.747222185,1,0,professionals,nevmarr,gradwk,25t39k,3.666666746
1250,1.669999957,0,23.17260361,1,2.090909004,4.405555725,1,1,craftsmen/foremen/kindred,nevmarr,highsc,50k+,4.666666508
1251,2.329999924,1,20.92876625,1,1.090909123,3.858333349,1,0,clerical/kindred,nevmarr,somcol,15t24k,3.5
1252,3.329999924,1,34.49040985,1,1,4.447222233,0,1,professionals,divrcd,bach,lt15k,4.666666508
1258,4.329999924,1,32.79999924,1,1.181818128,4.155555725,0,1,laborers/service wrks,married,somcol,50k+,4.166666508
1259,1.330000043,1,24.07123375,1,1,3.897222281,1,1,clerical/kindred,nevmarr,somcol,50k+,4.666666508
1260,4.329999924,1,29.15616417,1,1,5,0,1,clerical/kindred,nevmarr,gradwk,lt15k,5
1262,2,0,33.73698807,1,1.181818128,3.863888979,1,1,craftsmen/foremen/kindred,married,lt-hs,15t24k,4.166666508
