StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Role Clarity 1,Role Clarity 2,Role Clarity 3,Role Clarity 4,Role Clarity 5,Level of Engagement 1,Level of Engagement 2,Level of Engagement 3,Level of Engagement 4,Level of Engagement 5,Level of Engagement 6,Level of Engagement 7,Level of Engagement 8,Attention Check,Level of Engagement 9,Turnover Intention 1,Turnover Intention 2,Turnover Intention 3,Turnover Intention 4,Turnover Intention 5,Office Location,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Worker Wellbeing 1,Worker Wellbeing 2,Worker Wellbeing 3,Worker Wellbeing 4,Worker Wellbeing 5,Worker Wellbeing 6,Worker Wellbeing 7,Worker Wellbeing 8,Manager Support 1,Manager Support 2,Manager Support 3,Manager Support 4,Manager Support 5,Manager Support 6,Manager Support 7,Manager Support 8,Manager Support 9,Manager Support 10,Year Born,Gender,Ethnicity,V8_1,V8_2,V8_3,V8_4,V8_5
6/15/22 21:09,6/15/22 21:11,1,67.103.78.52,100,153,1,6/15/22 21:11,R_W6eNQWMWvRIq7OV,,,,,33.9687,-118.037,preview,EN,1,strongly disagree,slightly disagree,slightly disagree,disagree,strongly agree,5,3,2,2,5,1,1,4,296,3,4,6,3,1,5,1,4,6,4,7,4,2,1,3,3,,,,,,,,,,3,4,3,4,3,4,6,2,4,2,4,7,1,5,4,5,6,1,1998,Male,6,,,,,
6/15/22 21:12,6/15/22 21:12,1,67.103.78.53,100,48,1,6/15/22 21:12,R_3IQZbyb8PASmK6I,,,,,33.9687,-118.037,preview,EN,1,slightly agree,neutral,neutral,slightly agree,disagree,6,5,4,33,1,1,5,5,12,3,5,3,4,2,6,1,6,1,3,2,6,4,1,6,6,,,,,,,,,,2,6,4,7,5,3,6,5,2,6,3,7,5,7,3,7,5,4,2000,Male,3,,,,,
6/15/22 21:05,6/15/22 21:12,0,67.103.78.43,100,427,1,6/15/22 21:13,R_3O0y9j8BCNfC127,,,,,34.1534,-117.3994,anonymous,EN,1,strongly disagree,disagree,slightly disagree,slightly disagree,agree,4,6,1,5,3,2,5,2,12,2,4,6,6,7,2,1,2,4,4,5,6,3,6,1,7,,,,,,,,,,1,6,2,7,7,5,3,4,2,6,4,3,1,4,1,5,6,4,1997,Female,7,,,,,
6/15/22 21:12,6/15/22 21:14,0,104.173.131.121,100,92,1,6/15/22 21:14,R_3iqzqQ6ElZkOA2t,,,,,34.0528,-117.6648,anonymous,EN,1,strongly agree,agree,-999,agree,strongly agree,2,4,1,4,7,6,5,2,12,3,3,2,1,6,7,1,2,5,1,3,6,4,6,4,5,,,,,,,,,,6,3,1,1,3,5,2,3,3,5,1,3,4,7,2,7,1,5,1994,Female,6,,,,,
6/15/22 21:15,6/15/22 21:18,0,67.103.78.40,100,141,1,6/15/22 21:18,R_1o0dEwlwimgRgI6,,,,,34.1534,-117.3994,anonymous,EN,1,agree,neutral,strongly disagree,strongly agree,slightly disagree,3,3,2,2,4,4,7,4,158,5,7,77,77,4,7,1,1,7,3,7,1,3,5,3,5,,,,,,,,,,1,7,4,1,3,2,2,3,5,2,6,5,1,1,5,6,6,6,1994,Female,4,,,,,
6/15/22 21:35,6/15/22 21:35,1,67.103.78.41,100,9,1,6/15/22 21:35,R_1GWhyOWiGLn0j5x,,,,,33.9687,-118.037,preview,EN,1,neutral,strongly agree,strongly disagree,strongly disagree,neutral,2,7,6,5,4,5,1,7,12,7,2,7,1,5,6,1,5,4,6,7,7,3,6,6,4,,,,,,,,,,4,1,7,6,4,7,4,1,4,1,3,5,1,6,1,1,7,2,1993,Male,2,,,,,
6/15/22 21:38,6/15/22 21:39,1,67.103.78.42,100,84,1,6/15/22 21:39,R_3JiMMLPNaYsA1Xj,,,,,34.0528,-117.6648,preview,EN,1,agree,agree,slightly disagree,agree,strongly disagree,7,5,2,7,5,5,6,6,12,6,6,1,1,4,1,1,2,3,6,2,3,2,7,1,6,,,,,,,,,,5,5,5,7,1,1,5,5,6,4,4,3,5,3,7,4,6,2,2000,Male,4,,,,,
6/15/22 21:15,6/15/22 21:42,0,104.173.131.122,100,1627,1,6/15/22 21:42,R_DTPUAwpeKA07Ngl,,,,,34.0528,-117.6648,anonymous,EN,1,strongly agree,disagree,disagree,neutral,slightly agree,2,7,6,1,4,6,2,3,12,4,3,7,4,6,1,1,1,2,4,4,5,5,7,7,1,,,,,,,,,,5,6,3,3,7,6,5,1,2,7,7,5,4,6,3,6,3,6,2001,Non-Binary,3,,,,,
6/15/22 21:43,6/15/22 21:43,0,104.173.131.122,100,43,1,6/15/22 21:43,R_269JPKaqEkaqOhX,,,,,34.0528,-117.6648,anonymous,EN,1,strongly agree,agree,neutral,strongly agree,disagree,5,5,2,5,3,2,3,1,12,2,2,2,2,4,6,1,7,2,5,7,3,2,1,2,1,,,,,,,,,,2,2,1,4,5,6,7,3,6,6,6,3,3,7,7,3,5,2,1993,Male,6,,,,,
6/15/22 21:43,6/15/22 21:44,1,104.173.131.123,100,72,1,6/15/22 21:44,R_2wplksouSToK754,,,,,33.9687,-118.037,preview,EN,1,slightly agree,slightly agree,neutral,neutral,neutral,7,1,2,5,2,4,5,1,12,6,4,6,1,3,7,1,2,6,3,2,4,3,1,5,1,,,,,,,,,,6,4,6,4,5,1,1,5,3,7,4,3,1,1,5,2,2,3,1987,Female,5,,,,,
6/15/22 21:44,6/15/22 21:46,1,104.173.131.124,100,138,1,6/15/22 21:46,R_2tojQkDANpfd7TO,,,,,33.9687,-118.037,preview,EN,1,slightly disagree,neutral,neutral,strongly disagree,strongly agree,6,7,6,2,2,7,3,7,12,7,1,1,6,5,1,1,3,6,6,4,5,3,4,3,7,,,,,,,,,,7,7,2,4,2,6,1,2,7,2,3,5,7,4,3,7,3,5,1995,Female,2,,,,,
6/15/22 21:44,6/15/22 21:48,0,104.173.131.125,100,270,1,6/15/22 21:48,R_2b3lk4gwrf5gQ55,,,,,34.0528,-117.6648,anonymous,EN,1,strongly agree,strongly agree,neutral,strongly disagree,strongly agree,1,4,4,4,7,1,4,6,12,3,7,1,4,6,7,1,5,1,7,4,6,6,2,3,1,,,,,,,,,,3,7,5,5,1,3,2,3,3,6,2,4,2,5,3,2,2,4,1994,Female,3,,,,,
6/15/22 21:53,6/15/22 21:54,0,104.173.131.126,100,61,1,6/15/22 21:54,R_qwPs32pMSToAbhT,,,,,34.0528,-117.6648,anonymous,EN,1,slightly agree,strongly disagree,strongly disagree,disagree,strongly disagree,2,5,6,5,3,1,4,4,12,2,7,10,7,52,32,1,2,7,7,3,4,4,2,2,7,,,,,,,,,,2,7,1,1,5,1,6,4,3,7,1,3,4,7,2,3,1,4,1965,Non-Binary,4,,,,,
6/15/22 22:09,6/15/22 22:10,0,104.173.131.127,100,82,1,6/15/22 22:10,R_1HjdpJgrBBgEER2,,,,,34.0528,-117.6648,anonymous,EN,1,neutral,slightly agree,slightly disagree,neutral,strongly agree,2,2,1,1,4,1,1,6,12,2,2,7,7,7,4,1,2,4,1,2,3,4,4,5,1,,,,,,,,,,6,6,1,6,1,4,7,3,2,5,5,2,5,1,3,5,2,3,1986,Non-Binary,3,,,,,
6/15/22 21:20,6/15/22 22:35,1,104.173.131.129,100,4511,1,6/15/22 22:35,R_0SZlfsdOl2JhgsN,,,,,34.1172,-117.6472,preview,EN,1,strongly disagree,strongly disagree,slightly agree,slightly disagree,slightly agree,6,1,4,2,5,5,7,7,12,6,5,2,6,2,1,1,1,7,7,7,6,1,7,5,3,,,,,,,,,,7,4,7,6,4,5,4,2,4,7,2,3,6,5,6,6,7,2,2002,Female,1,,,,,
6/15/22 22:36,6/15/22 22:40,0,104.173.131.128,100,237,1,6/15/22 22:40,R_3QWTZrOO3zhqVUa,,,,,34.0528,-117.6648,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,2,2,2,5,3,3,5,5,5,6,1,5,6,4,3,5,4,2002,Male,4,,,,,
6/15/22 22:40,6/15/22 22:41,0,104.173.131.124,100,71,1,6/15/22 22:41,R_1MKVZrS7s0U3a2e,,,,,34.0528,-117.6648,anonymous,EN,1,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,7,6,3,3,7,6,2,4,12,5,4,6,3,4,3,1,4,6,5,4,4,3,2,2,2,,,,,,,,,,1,6,2,2,4,4,4,7,1,2,1,6,6,3,5,6,3,3,1983,Male,3,,,,,
6/15/22 22:40,6/15/22 22:43,1,104.173.131.131,100,165,1,6/15/22 22:43,R_1K7oBdmf1n3bHW9,,,,,34.1172,-117.6472,preview,EN,1,strongly disagree,slightly disagree,disagree,neutral,strongly disagree,5,4,1,6,6,2,3,5,12,2,1,5,7,3,5,1,3,3,1,1,5,7,3,2,4,,,,,,,,,,7,3,3,6,3,6,4,2,6,2,7,4,5,3,7,3,2,5,1999,Non-Binary,5,,,,,
6/15/22 22:48,6/15/22 22:49,1,104.173.131.132,100,59,1,6/15/22 22:49,R_2XiVKmZy5ADGK0z,,,,,33.9687,-118.037,preview,EN,1,disagree,neutral,slightly agree,strongly agree,strongly disagree,6,6,5,4,1,1,1,1,12,7,4,4,3,1,4,1,5,6,6,2,4,5,5,5,1,,,,,,,,,,5,5,1,2,4,2,2,2,2,7,1,4,4,6,4,2,2,7,1988,Non-Binary,5,,,,,
6/15/22 22:49,6/15/22 22:50,1,104.173.131.133,100,66,1,6/15/22 22:50,R_12KmFvJSdGjiIJP,,,,,33.9687,-118.037,preview,EN,1,slightly agree,neutral,agree,neutral,slightly agree,3,1,2,7,4,7,5,3,257,7,6,2,2,6,5,1,5,5,3,6,7,3,1,1,6,,,,,,,,,,6,2,7,1,2,7,1,4,5,5,5,6,2,5,3,4,7,3,1986,Male,2,,,,,
6/15/22 22:52,6/15/22 22:52,1,104.173.131.134,100,7,1,6/15/22 22:52,R_26nadYHF8O2KiJG,,,,,33.9687,-118.037,preview,EN,1,neutral,strongly agree,disagree,strongly disagree,strongly disagree,1,5,7,1,4,7,1,2,12,6,1,6,1,2,7,1,4,4,7,7,6,2,4,3,4,,,,,,,,,,1,4,3,5,5,4,4,7,7,6,7,5,2,5,6,4,5,6,1997,Female,3,,,,,
6/15/22 22:50,6/15/22 22:53,1,104.173.131.135,100,197,1,6/15/22 22:53,R_1pFLyaXmw5PUCfS,,,,,34.1172,-117.6472,preview,EN,1,slightly agree,strongly agree,agree,slightly disagree,neutral,4,5,1,4,4,6,5,6,12,3,7,1,3,5,3,1,2,4,6,4,4,4,3,3,4,,,,,,,,,,1,3,7,2,1,5,5,3,3,3,3,1,1,2,4,6,5,7,1995,Female,4,,,,,
6/15/22 22:52,6/15/22 22:54,1,104.173.131.136,100,72,1,6/15/22 22:54,R_2SCCDebuInQCIct,,,,,33.9687,-118.037,preview,EN,1,disagree,neutral,slightly agree,disagree,neutral,6,5,7,4,5,6,7,7,12,5,4,5,2,2,6,1,7,4,5,5,5,5,6,5,7,,,,,,,,,,6,5,3,5,1,7,6,2,5,3,3,1,1,7,2,7,3,4,1985,Female,6,,,,,
6/15/22 22:55,6/15/22 22:56,1,104.173.131.137,100,64,1,6/15/22 22:56,R_2Y51Eopa3YMd4Te,,,,,33.9687,-118.037,preview,EN,1,strongly agree,agree,disagree,disagree,disagree,5,3,4,6,3,1,3,3,12,2,5,5,7,4,6,1,4,7,5,6,6,2,5,3,4,,,,,,,,,,7,3,4,7,4,6,5,7,1,2,3,4,3,2,2,7,3,7,1991,Female,7,,,,,
6/15/22 22:54,6/15/22 22:56,0,76.91.226.203,100,92,1,6/15/22 22:56,R_2WYWgnzvkL761Ef,,,,,34.1172,-117.6472,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,4,7,6,4,7,3,6,7,5,4,4,6,2,1,7,6,2002,Non-Binary,4,,,,,
6/15/22 22:56,6/15/22 22:57,1,76.91.226.204,100,98,1,6/15/22 22:57,R_r8xvxtsaHCj6MYV,,,,,33.9687,-118.037,preview,EN,1,slightly disagree,neutral,disagree,disagree,agree,2,2,3,4,1,4,3,7,12,3,4,4,5,3,2,1,1,3,5,1,2,6,7,6,2,,,,,,,,,,5,7,6,1,3,4,4,2,1,1,3,2,3,2,4,1,1,1,1992,Non-Binary,3,,,,,
6/16/22 5:30,6/16/22 5:43,0,35.143.163.62,100,756,1,6/16/22 5:43,R_AMteiwUQFHcvQ4h,,,,,28.834,-82.2822,anonymous,EN,1,disagree,disagree,disagree,strongly disagree,strongly disagree,4,2,7,6,2,4,6,4,12,2,6,4,1,2,3,1,3,7,7,6,5,6,4,6,1,,,,,,,,,,2,4,4,7,3,5,3,3,5,4,1,5,6,7,7,3,2,4,1985,Female,3,7,7,7,7,7
6/16/22 5:40,6/16/22 5:50,0,47.205.179.17,100,590,1,6/16/22 5:50,R_22lAUJ0BxUr59Qa,,,,,27.5595,-82.3934,anonymous,EN,1,disagree,slightly agree,disagree,slightly disagree,strongly disagree,2,3,4,4,5,3,4,2,12,7,5,2,2,2,6,1,6,4,3,7,5,2,2,2,3,,,,,,,,,,1,2,6,1,2,6,7,2,4,3,6,5,7,3,4,2,2,3,1987,Non-Binary,6,7,7,7,7,7
6/16/22 5:45,6/16/22 5:50,0,71.203.155.134,100,332,1,6/16/22 5:50,R_1n0zhFiRa7ahp9r,,,,,30.132,-81.7726,anonymous,EN,1,disagree,neutral,agree,strongly disagree,agree,1,5,7,2,6,3,7,5,12,4,6,3,7,1,4,1,3,6,1,6,1,4,3,3,7,,,,,,,,,,6,7,5,7,2,1,2,5,1,1,1,1,2,3,6,2,5,1,1996,Non-Binary,1,,,,,
6/16/22 5:46,6/16/22 5:57,0,47.204.66.239,100,670,1,6/16/22 5:57,R_1GylTM4ZRvWpJws,,,,,27.947,-82.7943,anonymous,EN,1,slightly disagree,strongly agree,disagree,agree,agree,4,5,6,3,2,5,6,1,12,7,1,4,4,5,6,1,5,4,5,3,3,4,1,2,3,,,,,,,,,,7,6,5,4,6,5,3,3,2,1,4,4,6,4,2,1,5,2,1988,Non-Binary,4,,,,,
6/16/22 6:00,6/16/22 6:09,0,73.224.95.37,100,506,1,6/16/22 6:09,R_PLJWKk2Q6pjArUl,,,,,30.161,-81.7311,anonymous,EN,1,disagree,neutral,strongly disagree,slightly disagree,disagree,7,1,5,3,6,2,4,4,12,3,2,1,2,2,1,1,1,5,6,3,4,6,3,4,5,,,,,,,,,,4,6,3,4,1,2,7,7,7,7,4,7,3,2,5,7,4,4,1996,Male,3,7,7,7,7,7
6/16/22 5:54,6/16/22 6:11,0,184.80.212.182,100,1007,1,6/16/22 6:11,R_1nSIU2tzSnT3Emu,,,,,30.223,-81.7595,anonymous,EN,1,slightly agree,strongly agree,slightly disagree,slightly agree,agree,1,2,3,1,3,2,3,6,12,3,1,4,3,5,5,1,3,5,5,6,7,2,3,1,7,,,,,,,,,,7,2,3,2,2,5,7,4,4,5,5,6,1,2,3,6,2,4,1998,Female,3,,,,,
6/16/22 5:57,6/16/22 6:13,0,66.31.130.33,100,948,1,6/16/22 6:13,R_2xQ9VTTUHUwIgeH,,,,,42.3513,-71.3626,anonymous,EN,1,slightly agree,slightly disagree,disagree,agree,strongly disagree,3,1,3,6,6,5,4,2,12,5,2,3,3,1,1,1,2,3,4,7,6,5,5,4,1,,,,,,,,,,6,3,6,7,4,3,1,6,7,4,4,2,2,3,3,6,7,6,1987,Female,1,,,,,
6/16/22 5:56,6/16/22 6:21,0,97.102.103.248,100,1449,1,6/16/22 6:21,R_1rABax0AvbdhwS4,,,,,28.3943,-81.3615,anonymous,EN,1,disagree,strongly disagree,slightly agree,agree,slightly agree,3,2,4,7,1,2,1,4,12,5,5,4,3,1,3,1,4,7,6,7,2,5,6,7,5,,,,,,,,,,2,2,6,7,5,2,6,4,5,5,6,1,3,5,5,4,2,4,2000,Non-Binary,7,7,7,7,7,7
