"salary","satisfaction_level","average_monthly_hours"
"medium",0.11,287
"medium",0.46,154
"medium",0.82,263
"medium",0.44,131
"medium",0.11,260
"medium",0.42,139
"medium",0.84,251
"medium",0.11,286
"high",0.45,129
"low",0.38,156
"medium",0.38,139
"medium",0.44,127
"medium",0.11,251
"medium",0.81,270
"low",0.09,296
"low",0.11,254
"low",0.81,238
"low",0.1,267
"low",0.74,229
"low",0.09,254
"low",0.82,233
"low",0.1,268
"low",0.27,301
"low",0.83,267
"low",0.1,289
"low",0.38,144
"low",0.4,148
"low",0.11,306
"low",0.11,292
"low",0.82,232
"low",0.36,137
"low",0.4,128
"low",0.87,231
"low",0.41,146
"low",0.11,308
"medium",0.1,253
"medium",0.38,146
"medium",0.39,156
"medium",0.4,147
"medium",0.45,136
"medium",0.74,249
"medium",0.45,151
"medium",0.12,278
"medium",0.1,250
"medium",0.37,127
"medium",0.89,255
"medium",0.45,135
"high",0.37,149
"low",0.11,287
"medium",0.41,145
"medium",0.1,285
"medium",0.1,305
"medium",0.11,300
"low",0.4,139
"low",0.41,130
"low",0.1,268
"low",0.73,245
"low",0.43,135
"low",0.37,153
"low",0.11,276
"low",0.4,130
"low",0.41,153
"low",0.82,244
"low",0.61,253
"low",0.11,287
"low",0.37,131
"low",0.41,135
"low",0.37,157
"low",0.88,262
"low",0.1,266
"low",0.44,148
"low",0.38,140
"low",0.11,302
"low",0.09,271
"medium",0.45,145
"medium",0.1,290
"medium",0.45,151
"medium",0.77,266
"medium",0.44,140
"medium",0.39,142
"medium",0.1,246
"medium",0.09,308
"medium",0.37,141
"medium",0.9,232
"medium",0.41,143
"medium",0.37,155
"high",0.1,278
"low",0.81,253
"medium",0.11,282
"medium",0.11,264
"medium",0.4,149
"medium",0.09,304
"low",0.48,219
"low",0.91,262
"low",0.43,135
"low",0.33,219
"low",0.41,136
"low",0.41,154
"low",0.37,149
"low",0.31,135
"low",0.09,275
"low",0.1,290
"low",0.76,263
"low",0.41,145
"low",0.72,267
"low",0.4,141
"low",0.91,235
"low",0.1,258
"low",0.4,131
"low",0.82,243
"low",0.1,266
"low",0.37,142
"low",0.36,135
"medium",0.39,141
"medium",0.36,142
"medium",0.86,254
"medium",0.73,262
"medium",0.56,296
"medium",0.44,158
"medium",0.31,238
"medium",0.77,231
"medium",0.44,156
"medium",0.38,145
"medium",0.45,144
"medium",0.38,159
"high",0.36,156
"low",0.75,256
"medium",0.1,298
"medium",0.1,247
"medium",0.45,157
"medium",0.42,154
"low",0.78,253
"low",0.45,148
"low",0.84,261
"low",0.11,282
"low",0.42,133
"low",0.45,128
"low",0.46,139
"low",0.09,293
"low",0.87,265
"low",0.1,250
"low",0.91,251
"low",0.76,246
"low",0.74,275
"low",0.92,240
"low",0.76,245
"low",0.47,254
"low",0.73,241
"low",0.09,257
"low",0.91,246
"low",0.82,233
"low",0.28,218
"medium",0.84,262
"medium",0.45,138
"medium",0.45,142
"medium",0.91,233
"medium",0.42,155
"medium",0.82,229
"medium",0.11,264
"medium",0.42,199
"medium",0.82,223
"medium",0.09,268
"medium",0.1,287
"medium",0.86,257
"high",0.4,143
"low",0.45,130
"medium",0.42,136
"medium",0.74,261
"medium",0.55,180
"medium",0.37,126
"low",0.41,127
"low",0.89,195
"low",0.41,160
"low",0.44,150
"low",0.87,264
"low",0.1,309
"low",0.41,135
"low",0.11,261
"low",0.43,160
"low",0.77,237
"low",0.41,136
"low",0.41,139
"low",0.36,151
"low",0.77,229
"low",0.81,245
"low",0.39,127
"low",0.09,283
"low",0.44,143
"low",0.1,298
"low",0.36,159
"low",0.81,239
"medium",0.81,226
"medium",0.85,248
"medium",0.1,286
"medium",0.37,145
"medium",0.09,254
"medium",0.44,127
"medium",0.86,223
"medium",0.77,255
"medium",0.41,136
"medium",0.4,137
"medium",0.43,135
"medium",0.43,137
"high",0.8,255
"low",0.8,273
"medium",0.82,234
"medium",0.37,152
"medium",0.37,134
"medium",0.09,292
"low",0.9,245
"low",0.41,159
"low",0.1,260
"low",0.44,149
"low",0.89,266
"low",0.42,149
"low",0.87,242
"low",0.45,134
"low",0.11,271
"low",0.09,275
"low",0.76,227
"low",0.11,277
"low",0.37,151
"low",0.1,274
"low",0.77,242
"low",0.42,143
"low",0.38,145
"low",0.32,172
"low",0.38,135
"low",0.19,192
"low",0.1,276
"medium",0.76,206
"medium",0.53,281
"medium",0.39,151
"medium",0.11,244
"medium",0.1,309
"medium",0.84,218
"medium",0.82,263
"medium",0.1,244
"medium",0.59,263
"medium",0.44,143
"medium",0.89,181
"medium",0.91,265
"high",0.66,161
"low",0.11,282
"medium",0.43,155
"medium",0.78,217
"medium",0.11,289
"medium",0.83,259
"low",0.39,158
"low",0.38,158
"low",0.37,155
"low",0.44,146
"low",0.53,164
"low",0.09,259
"low",0.11,293
"low",0.83,275
"low",0.88,219
"low",0.1,247
"low",0.09,309
"low",0.44,151
"low",0.39,129
"low",0.87,274
"low",0.74,233
"low",0.1,289
"low",0.74,239
"low",0.75,221
"low",0.41,150
"low",0.41,144
"low",0.09,289
"medium",0.09,301
"medium",0.39,145
"medium",0.4,137
"medium",0.37,131
"medium",0.1,246
"medium",0.43,136
"medium",0.75,240
"medium",0.37,156
"medium",0.11,305
"medium",0.45,154
"medium",0.87,261
"medium",0.11,244
"high",0.45,129
"low",0.81,254
"medium",0.77,236
"medium",0.89,237
"medium",0.43,135
"medium",0.78,236
"low",0.37,149
"low",0.37,141
"low",0.85,270
"low",0.41,138
"low",0.11,298
"low",0.75,254
"low",0.82,248
"low",0.79,257
"low",0.43,150
"low",0.1,281
"low",0.46,141
"low",0.43,157
"low",0.43,136
"low",0.11,296
"low",0.09,279
"low",0.37,131
"low",0.4,160
"low",0.1,291
"low",0.41,157
"low",0.79,294
"low",0.11,310
"medium",0.1,282
"medium",0.44,134
"medium",0.25,214
"medium",0.44,137
"medium",0.73,252
"medium",0.75,243
"medium",0.36,148
"medium",0.37,151
"medium",0.39,129
"medium",0.48,198
"medium",0.57,275
"medium",0.9,243
"high",0.39,159
"low",0.44,145
"medium",0.81,242
"medium",0.74,242
"medium",0.44,145
"medium",0.41,154
"low",0.4,139
"low",0.46,152
"low",0.8,211
"low",0.87,258
"low",0.39,155
"low",0.38,148
"low",0.66,255
"low",0.1,264
"low",0.37,132
"low",0.1,255
"low",0.09,263
"low",0.86,222
"low",0.11,263
"low",0.37,157
"low",0.11,307
"low",0.77,259
"low",0.84,222
"low",0.1,250
"low",0.83,245
"low",0.11,292
"low",0.86,252
"medium",0.38,161
"medium",0.11,250
"medium",0.45,134
"medium",0.1,279
"medium",0.09,256
"medium",0.39,127
"medium",0.37,138
"medium",0.81,243
"medium",0.09,296
"medium",0.1,267
"medium",0.39,144
"medium",0.83,251
"high",0.45,148
"low",0.43,141
"medium",0.8,268
"medium",0.1,247
"medium",0.1,247
"medium",0.36,146
"low",0.38,140
"low",0.78,263
"low",0.44,145
"low",0.41,156
"low",0.72,244
"low",0.46,144
"low",0.1,286
"low",0.34,141
"low",0.11,260
"low",0.38,154
"low",0.82,225
"low",0.39,127
"low",0.44,140
"low",0.43,147
"low",0.84,227
"low",0.43,153
"low",0.37,128
"low",0.74,228
"low",0.73,235
"low",0.37,148
"low",0.58,238
"medium",0.4,141
"medium",0.51,249
"medium",0.46,151
"medium",0.45,129
"medium",0.46,156
"medium",0.39,134
"medium",0.09,269
"medium",0.09,290
"medium",0.37,132
"medium",0.1,308
"medium",0.77,232
"medium",0.79,235
"high",0.43,130
"low",0.38,146
"medium",0.77,221
"medium",0.44,130
"medium",0.39,136
"medium",0.78,274
"low",0.1,256
"low",0.1,276
"low",0.75,267
"low",0.46,213
"low",0.91,274
"low",0.1,258
"low",0.72,153
"low",0.11,245
"low",0.11,264
"low",0.46,154
"low",0.37,149
"low",0.46,157
"low",0.43,127
"low",0.11,270
"low",0.73,236
"low",0.43,158
"low",0.86,229
"low",0.1,269
"low",0.4,128
"low",0.11,278
"low",0.86,158
"medium",0.42,202
"medium",0.79,240
"medium",0.1,255
"medium",0.09,254
"medium",0.09,257
"medium",0.87,228
"medium",0.36,145
"medium",0.42,218
"medium",0.84,268
"medium",0.1,278
"medium",0.78,249
"medium",0.35,236
"high",0.1,291
"low",0.11,306
"medium",0.43,135
"medium",0.38,156
"medium",0.46,143
"medium",0.89,243
"low",0.45,147
"low",0.44,159
"low",0.74,216
"low",0.45,152
"low",0.79,226
"low",0.79,271
"low",0.11,255
"low",0.42,140
"low",0.64,252
"low",0.4,159
"low",0.84,270
"low",0.73,232
"low",0.4,144
"low",0.36,127
"low",0.43,131
"low",0.11,243
"low",0.91,244
"low",0.8,260
"low",0.42,139
"low",0.31,184
"low",0.44,130
"medium",0.38,135
"medium",0.45,146
"medium",0.43,149
"medium",0.45,153
"medium",0.43,160
"medium",0.43,160
"medium",0.09,282
"medium",0.43,128
"medium",0.79,232
"medium",0.85,226
"medium",0.38,129
"medium",0.11,255
"high",0.83,258
"low",0.81,229
"medium",0.42,143
"medium",0.11,257
"medium",0.11,275
"medium",0.1,291
"low",0.5,153
"low",0.44,154
"low",0.11,301
"low",0.39,134
"low",0.11,245
"low",0.36,132
"low",0.43,130
"low",0.4,127
"low",0.86,246
"low",0.38,145
"low",0.46,138
"low",0.37,129
"low",0.43,150
"low",0.66,253
"low",0.37,160
"low",0.77,235
"low",0.38,151
"low",0.39,127
"low",0.41,151
"low",0.1,290
"low",0.09,249
"medium",0.41,131
"medium",0.39,159
"medium",0.83,223
"medium",0.09,214
"medium",0.75,227
"medium",0.44,127
"medium",0.1,293
"medium",0.42,141
"medium",0.1,300
"medium",0.1,309
"medium",0.31,149
"medium",0.42,159
"high",0.38,152
"low",0.39,158
"medium",0.1,254
"medium",0.11,294
"medium",0.1,269
"medium",0.11,247
"low",0.44,271
"low",0.91,232
"low",0.72,245
"low",0.36,132
"low",0.44,131
"low",0.85,248
"low",0.78,225
"low",0.39,156
"low",0.78,222
"low",0.1,243
"low",0.23,204
"low",0.11,301
"low",0.9,259
"low",0.91,247
"low",0.11,295
"low",0.43,150
"low",0.45,151
"low",0.11,291
"low",0.11,253
"low",0.43,161
"low",0.91,251
"medium",0.43,153
"medium",0.85,264
"medium",0.1,310
"medium",0.81,266
"medium",0.36,237
"medium",0.45,138
"medium",0.86,227
"medium",0.71,300
"medium",0.11,310
"medium",0.84,236
"medium",0.09,288
"medium",0.38,127
"high",0.15,139
"low",0.1,253
"medium",0.8,218
"medium",0.84,251
"medium",0.11,264
"medium",0.89,149
"low",0.45,138
"low",0.11,284
"low",0.74,244
"low",0.41,128
"low",0.44,154
"low",0.37,138
"low",0.11,308
"low",0.1,269
"low",0.7,136
"low",0.59,160
"low",0.38,138
"low",0.72,220
"low",0.73,274
"low",0.39,161
"low",0.89,224
"low",0.89,260
"low",0.11,300
"low",0.43,133
"low",0.09,308
"low",0.81,238
"low",0.37,126
"medium",0.36,138
"medium",0.11,299
"medium",0.1,254
"medium",0.66,156
"medium",0.39,152
"medium",0.44,146
"medium",0.1,253
"medium",0.79,227
"medium",0.1,301
"medium",0.54,294
"medium",0.37,151
"medium",0.37,128
"high",0.82,217
"low",0.45,160
"medium",0.79,263
"medium",0.42,156
"medium",0.1,273
"medium",0.11,303
"low",0.74,253
"low",0.1,270
"low",0.79,218
"low",0.43,144
"low",0.41,154
"low",0.39,146
"low",0.1,260
"low",0.82,218
"low",0.41,128
"low",0.42,128
"low",0.74,248
"low",0.38,152
"low",0.39,126
"low",0.87,260
"low",0.1,263
"low",0.78,220
"low",0.14,282
"low",0.11,277
"low",0.91,257
"low",0.49,265
"low",0.38,143
"medium",0.82,263
"medium",0.38,154
"medium",0.89,253
"medium",0.11,294
"medium",0.37,128
"medium",0.38,153
"medium",0.78,256
"medium",0.41,127
"medium",0.41,137
"medium",0.11,295
"medium",0.11,281
"medium",0.43,131
"high",0.75,237
"low",0.74,276
"medium",0.85,267
"medium",0.73,266
"medium",0.1,294
"medium",0.44,134
"low",0.3,309
"low",0.11,273
"low",0.84,238
"low",0.78,271
"low",0.43,145
"low",0.36,152
"low",0.43,128
"low",0.45,142
"low",0.76,238
"low",0.1,286
"low",0.09,291
"low",0.92,259
"low",0.92,248
"low",0.79,271
"low",0.43,140
"low",0.8,274
"low",0.44,127
"low",0.89,275
"low",0.48,239
"low",0.11,304
"low",0.38,145
"medium",0.11,259
"medium",0.82,264
"medium",0.37,160
"medium",0.4,138
"medium",0.43,137
"medium",0.44,156
"medium",0.42,147
"medium",0.11,243
"medium",0.78,236
"medium",0.46,212
"medium",0.77,261
"medium",0.83,243
"high",0.32,271
"low",0.9,154
"medium",0.42,151
"medium",0.1,254
"medium",0.1,285
"medium",0.44,130
"low",0.1,301
"low",0.11,286
"low",0.1,246
"low",0.39,135
"low",0.92,245
"low",0.43,136
"low",0.11,301
"low",0.81,235
"low",0.11,272
"low",0.87,274
"low",0.37,131
"low",0.39,135
"low",0.61,196
"low",0.11,285
"low",0.09,289
"low",0.36,157
"low",0.09,308
"low",0.41,301
"low",0.4,131
"low",0.1,262
"low",0.46,143
"medium",0.39,133
"medium",0.41,153
"medium",0.1,281
"medium",0.39,132
"medium",0.73,270
"medium",0.41,150
"medium",0.37,140
"medium",0.38,150
"medium",0.8,180
"medium",0.09,281
"medium",0.85,275
"medium",0.42,130
"high",0.41,130
"low",0.38,147
"medium",0.72,264
"medium",0.11,290
"medium",0.37,150
"medium",0.1,304
"low",0.36,136
"low",0.92,307
"low",0.11,303
"low",0.39,156
"low",0.11,271
"low",0.45,140
"low",0.44,130
"low",0.85,266
"low",0.43,139
"low",0.75,260
"low",0.11,137
"low",0.36,158
"low",0.1,249
"low",0.74,259
"low",0.4,144
"low",0.09,244
"low",0.76,219
"low",0.45,151
"low",0.84,269
"low",0.38,127
"low",0.38,144
"medium",0.38,157
"medium",0.86,224
"medium",0.37,155
"medium",0.37,131
"medium",0.87,258
"medium",0.11,267
"medium",0.42,141
"medium",0.43,160
"medium",0.09,247
"medium",0.54,260
"medium",0.4,151
"medium",0.36,137
"high",0.87,256
"low",0.75,239
"medium",0.43,152
"medium",0.43,149
"medium",0.1,284
"medium",0.11,248
"low",0.44,156
"low",0.39,138
"low",0.4,155
"low",0.92,229
"low",0.36,136
"low",0.86,241
"low",0.74,258
"low",0.8,146
"low",0.36,145
"low",0.42,159
"low",0.42,129
"low",0.4,142
"low",0.46,129
"low",0.09,287
"low",0.88,275
"low",0.1,272
"low",0.1,307
"low",0.11,295
"low",0.84,237
"low",0.42,158
"low",0.1,266
"medium",0.1,256
"medium",0.46,158
"medium",0.09,268
"medium",0.89,237
"medium",0.82,273
"medium",0.11,309
"medium",0.81,258
"medium",0.81,233
"medium",0.77,249
"medium",0.63,179
"medium",0.4,128
"medium",0.86,250
"high",0.37,151
"low",0.44,132
"medium",0.74,232
"medium",0.79,229
"medium",0.09,261
"medium",0.37,129
"low",0.09,244
"low",0.09,258
"low",0.1,292
"low",0.45,143
"low",0.4,136
"low",0.31,235
"low",0.7,310
"low",0.36,152
"low",0.34,157
"low",0.87,267
"low",0.11,302
"low",0.47,133
"low",0.43,142
"low",0.43,129
"low",0.45,136
"low",0.74,223
"low",0.1,244
"low",0.78,243
"low",0.9,275
"low",0.53,205
"low",0.45,154
"medium",0.86,270
"medium",0.74,267
"medium",0.09,276
"medium",0.8,244
"medium",0.46,128
"medium",0.86,269
"medium",0.86,238
"medium",0.9,269
"medium",0.87,231
"medium",0.83,267
"medium",0.77,245
"medium",0.77,272
"high",0.9,254
"low",0.73,273
"medium",0.91,250
"medium",0.36,133
"medium",0.38,150
"medium",0.44,157
"low",0.73,230
"low",0.89,260
"low",0.11,275
"low",0.1,308
"low",0.37,129
"low",0.38,134
"low",0.42,132
"low",0.44,153
"low",0.11,262
"low",0.09,262
"low",0.43,130
"low",0.38,156
"low",0.11,254
"low",0.37,130
"low",0.44,139
"low",0.72,269
"low",0.1,297
"low",0.73,249
"low",0.09,267
"low",0.44,149
"low",0.09,251
"medium",0.1,306
"medium",0.11,279
"medium",0.42,131
"medium",0.09,260
"medium",0.72,249
"medium",0.75,245
"medium",0.44,138
"medium",0.11,278
"medium",0.38,147
"medium",0.39,131
"medium",0.1,301
"medium",0.43,141
"high",0.39,158
"low",0.88,235
"medium",0.1,261
"medium",0.1,270
"medium",0.11,290
"medium",0.37,149
"low",0.37,160
"low",0.77,150
"low",0.91,218
"low",0.46,155
"low",0.11,291
"low",0.86,265
"low",0.87,262
"low",0.09,303
"low",0.42,132
"low",0.82,245
"low",0.46,129
"low",0.88,226
"low",0.1,286
"low",0.43,140
"low",0.37,153
"low",0.8,217
"low",0.83,258
"low",0.39,156
"low",0.77,255
"low",0.43,129
"low",0.79,234
"medium",0.39,152
"medium",0.1,300
"medium",0.39,131
"medium",0.11,301
"medium",0.4,156
"medium",0.42,141
"medium",0.57,219
"medium",0.11,269
"medium",0.36,276
"medium",0.11,302
"medium",0.35,281
"medium",0.78,241
"high",0.11,288
"low",0.1,303
"medium",0.42,135
"medium",0.43,127
"medium",0.79,245
"medium",0.45,145
"low",0.09,248
"low",0.11,302
"low",0.45,144
"low",0.11,272
"low",0.09,294
"low",0.78,296
"low",0.38,151
"low",0.82,249
"low",0.85,221
"low",0.45,146
"low",0.77,243
"low",0.39,127
"low",0.91,245
"low",0.11,264
"low",0.46,143
"low",0.43,135
"low",0.11,262
"low",0.1,299
"low",0.09,279
"low",0.36,155
"low",0.11,264
"medium",0.09,256
"medium",0.44,129
"medium",0.73,217
"medium",0.21,203
"medium",0.8,264
"medium",0.37,159
"medium",0.79,218
"medium",0.09,298
"medium",0.75,134
"medium",0.83,263
"medium",0.1,252
"medium",0.44,136
"high",0.42,259
"low",0.43,158
"medium",0.09,307
"medium",0.44,152
"medium",0.81,237
"medium",0.1,284
"low",0.1,243
"low",0.11,268
"low",0.09,244
"low",0.75,262
"low",0.38,134
"low",0.09,278
"low",0.74,238
"low",0.44,127
"low",0.76,259
"low",0.42,146
"low",0.75,243
"low",0.36,137
"low",0.75,229
"low",0.4,134
"low",0.75,228
"low",0.09,301
"low",0.39,127
"low",0.4,142
"low",0.39,131
"low",0.1,310
"low",0.42,148
"medium",0.37,143
"medium",0.11,250
"medium",0.09,265
"medium",0.41,152
"medium",0.42,145
"medium",0.4,140
"medium",0.36,129
"medium",0.74,226
"medium",0.66,269
"medium",0.38,152
"medium",0.43,132
"medium",0.43,148
"high",0.1,297
"low",0.82,274
"medium",0.1,280
"medium",0.1,288
"medium",0.43,155
"medium",0.09,247
"low",0.41,138
"low",0.1,284
"low",0.88,225
"low",0.43,151
"low",0.42,155
"low",0.85,234
"low",0.38,144
"low",0.39,142
"low",0.41,126
"low",0.88,233
"low",0.78,241
"low",0.45,138
"low",0.09,260
"low",0.44,145
"low",0.11,252
"low",0.36,143
"low",0.86,270
"low",0.1,285
"low",0.45,149
"low",0.42,158
"low",0.36,134
"medium",0.45,129
"medium",0.38,131
"medium",0.11,288
"medium",0.45,142
"medium",0.87,227
"medium",0.45,131
"medium",0.1,283
"medium",0.44,139
"medium",0.78,267
"medium",0.38,148
"medium",0.85,272
"medium",0.36,148
"high",0.75,270
"low",0.81,218
"medium",0.4,150
"medium",0.83,260
"medium",0.41,127
"medium",0.42,134
"low",0.09,258
"low",0.87,304
"low",0.43,149
"low",0.39,139
"low",0.1,272
"low",0.41,132
"low",0.72,240
"low",0.44,137
"low",0.38,139
"low",0.46,148
"low",0.4,149
"low",0.45,131
"low",0.89,262
"low",0.1,284
"low",0.46,161
"low",0.09,290
"low",0.45,149
"low",0.89,242
"low",0.62,227
"low",0.11,276
"low",0.44,135
"medium",0.09,266
"medium",0.56,236
"medium",0.77,270
"medium",0.39,146
"medium",0.1,272
"medium",0.72,246
"medium",0.4,136
"medium",0.11,260
"medium",0.88,247
"medium",0.37,127
"medium",0.11,267
"medium",0.4,143
"high",0.1,306
"low",0.62,131
"medium",0.78,249
"medium",0.37,144
"medium",0.76,254
"medium",0.42,131
"low",0.1,272
"low",0.42,157
"low",0.1,301
"low",0.1,252
"low",0.42,130
"low",0.09,297
"low",0.1,248
"low",0.11,257
"low",0.44,147
"low",0.87,307
"low",0.44,154
"low",0.41,143
"low",0.51,134
"low",0.89,221
"low",0.1,275
"low",0.9,247
"low",0.36,131
"low",0.44,150
"low",0.39,150
"low",0.38,137
"low",0.73,223
"medium",0.1,292
"medium",0.89,130
"medium",0.87,221
"medium",0.84,245
"medium",0.11,274
"medium",0.74,248
"medium",0.79,243
"medium",0.1,273
"medium",0.83,221
"medium",0.1,271
"medium",0.45,157
"medium",0.29,249
"high",0.46,145
"low",0.11,262
"medium",0.75,272
"medium",0.4,129
"medium",0.37,134
"medium",0.41,147
"low",0.1,293
"low",0.39,129
"low",0.4,140
"low",0.41,132
"low",0.11,284
"low",0.74,263
"low",0.42,143
"low",0.88,265
"low",0.37,147
"low",0.78,253
"low",0.46,141
"low",0.74,222
"low",0.11,273
"low",0.8,240
"low",0.37,154
"low",0.87,253
"low",0.9,221
"low",0.1,263
"low",0.43,145
"low",0.11,279
"low",0.4,146
"medium",0.09,270
"medium",0.4,135
"medium",0.14,236
"medium",0.4,151
"medium",0.11,244
"medium",0.72,169
"medium",0.39,157
"medium",0.82,246
"medium",0.41,142
"medium",0.45,156
"medium",0.2,281
"medium",0.43,146
"high",0.39,156
"low",0.11,299
"medium",0.45,136
"medium",0.11,272
"medium",0.84,240
"medium",0.86,245
"low",0.79,269
"low",0.39,130
"low",0.15,257
"low",0.81,241
"low",0.39,136
"low",0.92,219
"low",0.9,271
"low",0.32,280
"low",0.46,140
"low",0.83,254
"low",0.39,131
"low",0.2,138
"low",0.11,295
"low",0.11,301
"low",0.1,296
"low",0.75,246
"low",0.44,145
"low",0.86,241
"low",0.1,269
"low",0.39,146
"low",0.45,149
"medium",0.1,287
"medium",0.36,138
"medium",0.57,158
"medium",0.09,266
"medium",0.87,255
"medium",0.43,156
"medium",0.36,147
"medium",0.91,265
"medium",0.41,136
"medium",0.37,140
"medium",0.43,146
"medium",0.43,142
"high",0.4,155
"low",0.1,285
"medium",0.76,253
"medium",0.82,248
"medium",0.11,255
"medium",0.43,154
"low",0.11,305
"low",0.41,141
"low",0.73,252
"low",0.37,157
"low",0.11,250
"low",0.46,131
"low",0.41,149
"low",0.78,260
"low",0.78,260
"low",0.72,251
"low",0.63,242
"low",0.55,136
"low",0.45,155
"low",0.39,155
"low",0.1,248
"low",0.4,136
"low",0.39,133
"low",0.78,128
"low",0.42,142
"low",0.39,149
"low",0.46,145
"medium",0.1,279
"medium",0.45,146
"medium",0.1,264
"medium",0.1,272
"medium",0.78,256
"medium",0.4,296
"medium",0.45,155
"medium",0.39,130
"medium",0.43,157
"medium",0.09,245
"medium",0.79,226
"medium",0.44,156
"high",0.79,228
"low",0.38,155
"medium",0.36,159
"medium",0.39,142
"medium",0.09,271
"medium",0.16,277
"low",0.09,310
"low",0.11,254
"low",0.44,142
"low",0.11,253
"low",0.11,260
"low",0.45,147
