,JA,TI,WP,JS,JV
78,5.055725243,5.155916034,2.943093023,4.225973353,3.610262242
79,3.795080893,3.751620615,2.797072418,1.982734751,4.631166327
80,4.289587265,3.394543391,2.911606804,5.113616373,3.203108097
81,3.949811023,4.366203761,2.792367367,3.340731876,4.842052774
82,4.962845632,5.48638876,3.109568626,2.326146806,2.977532133
83,3.783034808,2.696695775,2.061497569,4.387933015,3.641506647
84,4.228036185,3.023724635,2.353505967,5.858389408,5.070704688
85,5.987341417,3.011386283,4.489655651,4.961938776,3.779246476
86,2.42421163,4.008252488,2.983199245,3.206591889,5.081573903
87,4.662724583,4.646722135,2.5154231,3.057033246,2.80787728
88,4.769911492,4.316746357,2.385452302,4.609050525,3.129043901
89,3.518105003,2.88440113,3.317589589,5.36201166,2.098438952
90,4.285785463,4.881529794,5.851750255,3.701731464,5.159975037
91,4.193983153,5.81098533,3.152086409,1.384103533,2.810314241
92,6.358720011,4.911853333,4.365147365,4.529507363,6.024295876
93,4.708220411,5.01880918,4.221690061,4.909159911,4.448519884
94,4.160126702,3.239949178,5.295652951,5.50197785,3.865268813
95,4.389141509,4.459796791,3.978131623,3.07011772,3.950499789
96,4.700791685,4.79395972,3.264830375,2.838230616,4.670429438
97,4.973379758,2.872548737,3.755068265,4.525617654,5.928610066
98,3.511819941,5.405988763,2.422735144,2.604160665,4.576706134
99,5.212019329,5.126576225,4.663453562,5.201290685,4.893620774
100,4.012498068,4.681579024,4.303263034,4.720704611,4.056958787
101,5.943960459,2.783126385,2.725399669,5.321848636,4.879591494
102,4.237188743,5.083344302,3.68724924,3.770328586,4.701610088
103,3.836415355,3.44173558,3.442183029,2.911150906,4.699112076
104,3.558818172,4.131613661,3.585930591,3.828412426,3.725215268
105,5.134218553,3.817556038,3.677618183,4.288113608,3.556446627
106,3.392488916,4.611513325,2.796786855,1.614314457,2.988712802
107,4.603467887,5.009494257,2.869209231,2.424963298,2.490530833
108,3.992220696,3.969054673,3.477276737,4.974375747,3.472083688
109,2.564043619,3.740705392,4.097999953,4.995808393,3.959042127
110,3.57098704,3.385452867,3.046486278,3.752521429,3.618748654
111,4.262768838,2.757578744,4.26175285,5.533421729,3.62481348
112,3.130803391,3.222494427,4.002229417,5.049765426,3.438006131
113,5.404014436,4.353811984,5.227225894,5.618440943,4.393615628
114,4.390867523,4.329174737,3.20131447,3.236329806,5.68107815
115,4.110088279,3.183584124,3.800058259,5.67662416,4.844939164
116,5.345516025,3.446041339,3.516015843,5.966122329,4.47638297
117,4.530135953,3.72662409,3.204274273,4.085275867,3.487173141
118,2.958491757,3.097934246,2.286524283,3.906618785,2.475013781
119,2.941379486,4.698705535,5.941079298,3.89738086,5.021796968
120,2.840485726,2.441080725,3.520711688,4.572915561,2.231616725
121,3.474380965,6.438298768,2.802031781,1.233415476,3.081632746
122,2.739050008,5.177189704,3.337320818,2.331003209,3.227327676
123,3.956977871,3.624026765,3.923342152,4.775469884,4.626018573
124,4.572444594,5.166513227,2.53869009,2.195672133,4.34666825
125,4.972113812,2.244591574,4.047990124,6.820344564,2.79503534
126,4.535489248,3.489019698,3.687644909,3.799008856,3.28786682
127,4.799467542,4.3636489,3.543276995,3.300762932,5.412917488
128,4.509069535,5.035081043,2.800164032,3.741852169,3.976506196
129,5.776680555,4.260977871,3.63339743,4.753124447,3.701923406
130,3.058042366,3.402666334,3.564567737,3.196398694,3.416592591
131,2.292447428,3.859688628,3.222315955,3.329976651,2.258443673
132,4.700747959,4.781441176,2.544420362,4.149036751,4.924691364
133,4.604981173,3.320646785,3.361437051,5.013914962,3.599215479
134,4.768330614,4.996763953,2.362565192,2.078401645,4.54730173
135,3.015205306,5.064168981,4.183250112,3.187953752,3.923159602
136,5.050075307,3.905241755,3.150457965,3.877273109,3.898927307
137,5.196982166,4.260962673,6.015966654,4.083673526,3.841687867
138,5.554316385,2.601509992,3.297640184,4.228231941,3.131201095
139,4.322805346,3.730834911,3.847134674,2.796116732,3.549202942
140,2.580666967,5.473852455,4.02535486,3.536625688,3.431194015
141,4.93046161,3.566407835,6.114274418,5.433366992,5.621913695
142,4.165005434,3.900047681,4.480861787,3.635762161,3.672748498
143,3.150241864,3.24051467,2.806955185,2.771644481,2.904558503
144,4.216341024,4.150189262,3.180461445,3.687451582,3.04824976
145,2.807149256,4.207560973,2.875582803,2.118722694,2.023055698
146,3.698386722,6.309576458,2.676696095,2.464066481,3.045702386
147,3.465585053,5.176717189,3.385198499,1.490502313,3.488740795
148,2.899976005,5.304890946,2.205597162,2.971619107,3.256803433
149,4.537088442,2.963082067,4.253735519,3.218814033,3.318717768
150,3.041454807,4.281990556,2.418461502,3.788303025,3.162692628
151,3.452669247,3.820212453,5.077102629,4.081937669,4.563523488
152,4.67746011,3.47565349,4.613803462,3.973882431,5.261655218
153,3.973562894,5.621665801,4.900268629,2.137517568,3.372460013
154,3.68625655,2.287792559,2.762947106,4.632215187,3.660285641
155,3.333269453,5.096701261,2.600385623,4.129515746,2.998816873
156,4.181353715,3.921747559,4.279839729,4.784768684,3.403181232
157,4.679011427,4.786566615,2.185218005,3.602829517,2.595900706
158,4.224357046,3.237047734,6.006332801,6.580134881,5.0885532
159,3.987381942,4.023217071,2.821278499,2.499774947,1.5448803
160,3.763023447,4.000822028,1.849524154,3.02590888,2.730124179
161,2.76137708,4.801306478,2.7300947,3.40231611,4.461066261
162,3.593512258,3.376326576,1.977765903,3.095372181,4.656925561
163,4.489453626,3.001880636,3.533145168,2.733603078,3.242577102
164,2.908585369,6.220914367,3.26914456,1.826197802,3.92944396
165,3.711844792,3.687166962,3.614312495,3.497155659,3.82591935
166,1,5.737177419,1.376751141,1,1.507324494
167,4.441959606,4.211495596,4.616853782,4.923732482,5.262100165
168,5.015722541,4.019596456,5.606296702,3.981705161,4.160526378
169,4.99412223,4.366444322,2.500800217,5.615376344,3.987252807
170,3.304304544,4.69204717,3.901401853,3.741133361,4.632903549
171,4.24162288,5.694139243,3.590938649,3.91679659,2.942262266
172,4.232356255,3.244976077,4.758527062,5.124842331,3.778939793
173,4.574573927,3.089884074,2.725328786,3.452732439,3.648394612
174,5.451819405,2.94933598,4.263353013,5.485664097,3.486386261
175,6.9446053,2.941658513,5.11063902,6.613541476,3.362738977
176,4.635855331,3.727544368,3.481416229,5.303797398,5.161057495
177,3.994053693,3.550414862,2.906569382,4.073048894,4.1062278
178,4.004014376,2.716957353,2.880135838,5.741520823,4.394636491
179,4.520742213,3.108086313,5.486362858,5.380314121,4.49019668
180,4.333778926,4.453897003,2.554551819,4.425130901,2.309521391
181,3.48730419,4.175729512,4.444102361,3.912021643,5.64455948
182,3.551240743,5.329266134,2.889405027,2.017082595,3.378712613
183,5.190947588,4.633146426,4.590977587,4.125744215,4.643908989
184,4.677036046,3.490460903,3.062772693,3.909050091,2.867575476
185,4.100894255,2.473052728,4.34032375,4.214498771,4.9852775
186,6.149310127,3.770321017,3.785580557,5.103010803,3.989881612
187,2.672759657,2.804438865,3.249894375,4.298449036,5.10018294
188,5.329624657,4.513702338,3.675695637,4.102793317,5.099373551
189,5.154651511,4.499797682,4.033758987,4.554924668,5.145294016
190,2.916223933,4.30150248,3.65495696,3.235349935,3.710172148
191,4.744633478,4.736805582,4.480073056,2.731171006,3.819742564
192,3.166936168,3.324788023,3.110565695,3.42657127,4.375331485
193,4.319407953,2.605975724,3.746118898,4.330910435,2.023355223
194,2.622822217,5.217690012,2.786088633,3.300082855,4.654088719
195,3.98744158,5.445043627,1.966676495,1.591885441,2.884734669
196,4.055145818,1,3.176758076,3.935084693,3.35841183
197,3.85587499,4.505879215,4.642235025,3.92300151,3.998957753
198,5.763448247,5.234556279,4.264192297,3.446362964,4.293532617
199,2.469700427,3.257548711,3.221016012,3.430615502,5.192818744
200,3.860696736,3.321450675,3.353696342,5.087819723,4.007905197
201,4.718942586,3.389106245,4.089635769,4.896452294,3.491084331
202,5.737534182,2.856180719,5.705284855,5.625258096,4.78096776
203,4.22813243,4.464657693,3.109251076,4.899249842,3.636703449
204,2.9979511,4.426730228,2.960794019,2.410129945,4.311329201
205,3.284044195,3.665389575,4.231406307,5.042433284,4.583949782
206,5.460615098,4.368716416,1.692465706,2.059890588,4.098138204
207,3.851995956,4.583637687,2.925137358,3.589100048,4.105648
208,5.067135148,3.043588838,3.3871629,5.03089771,3.33409921
209,1.857972445,4.403987224,2.472204632,3.495476562,2.9811483
210,4.212655439,4.726903538,3.596789042,2.570137649,3.179862012
211,3.85081523,3.842602687,4.455692543,5.333328442,4.8779414
212,4.540672775,4.927578911,3.556806988,2.921471498,2.631141966
213,2.285476558,4.39240499,3.320680717,2.133510678,1
214,5.981672126,3.834594504,6.668761994,3.875388271,6.109119001
215,5.153880701,4.727496565,3.914055015,3.092773863,5.532150721
216,6.028054745,3.057876,4.519201734,5.13607609,4.633826325
217,5.747658808,5.604858701,4.281717333,3.232655365,4.850224723
218,5.392033063,3.97309249,4.496018067,5.305366207,4.970389455
219,4.851345848,4.811376746,3.645914617,3.958788313,3.929801219
220,4.579524137,4.717585712,3.37517562,4.038475088,3.306282488
221,3.966517906,4.44409437,3.713546328,3.478449564,3.269773395
222,6.513292683,3.508887708,5.049720139,5.255314163,4.828331816
223,4.760370571,6.338474483,3.450714823,4.14389072,3.067213497
224,5.341042955,4.384023991,4.445638529,5.064219011,4.364568742
225,4.064126236,4.872994263,2.272368252,3.145278526,5.053354695
226,4.162438912,4.941186279,3.184680725,3.524707838,3.636807095
227,3.09207738,2.130192743,2.551294262,4.532263025,3.440082597
228,4.027923815,4.452423456,3.076616923,3.177030711,4.057691844
229,3.816154839,5.135620076,3.934719986,2.792590626,3.954827176
230,4.359633657,4.319437047,2.908341308,3.137392291,3.434207005
231,4.718686763,4.493682584,4.121364249,3.731305234,4.501951642
232,5.210313224,5.484673332,5.009028208,4.467503199,3.747144171
233,6.196707058,4.542862534,7,6.28077728,7
234,3.43741718,2.450307713,4.444357796,4.204477562,2.548708154
235,3.844056948,7,4.064806742,2.242414386,4.025271945
236,3.498668151,4.019877677,4.353547027,4.797492807,4.008383234
237,3.943594089,5.22207615,3.789422031,2.739989014,3.057966005
238,4.643246251,4.815477047,5.093089531,4.991747997,4.818715941
239,2.486363064,5.447565142,3.072192751,3.19914699,3.010450172
240,3.91618809,4.298928076,3.852965933,3.244233178,3.765382103
241,3.913165803,5.230377329,4.470028424,3.237792045,4.080339769
242,3.62972061,5.200069701,4.509227836,2.963089808,4.768314628
243,3.244252056,3.674331511,5.334230302,4.237998695,4.605068922
244,3.206967401,4.780399539,2.769633599,3.859297727,4.886830399
245,5.713692032,5.813900843,4.782623584,2.140651005,3.761207701
246,4.806009851,4.399608551,3.238418809,3.566012244,3.513464339
247,5.321584641,2.34563659,3.341805564,5.084589729,4.234659196
248,4.126674526,3.662004983,4.578729511,4.966731359,3.336118537
249,3.507571319,4.117508127,1.817083856,3.245255184,4.050233357
250,6.430591081,3.108336093,6.337663926,5.120303738,4.768684299
251,4.719926765,5.877655633,2.952174956,4.343183132,3.938747729
252,4.376905377,4.447203294,3.426459297,3.650751531,4.940490102
253,4.922501743,4.275382871,3.587611981,4.369801747,4.08694554
254,5.415586358,3.05710268,6.022290767,6.248542462,5.617101775
255,2.475898397,3.437389549,3.398840101,3.205027356,1.540157597
256,3.539433603,1.921826587,3.458443024,4.759868285,3.734833851
257,4.541493033,3.866223321,3.070661225,3.52889173,4.244213686
258,5.940241557,2.37389369,4.933597408,7,4.871849031
259,4.510877125,3.946123148,3.701333031,2.113035345,4.254383307
260,6.213330699,3.949648813,4.068132631,5.502911184,4.449658805
261,4.003637045,3.816305901,4.116385014,3.001632422,4.071708448
262,3.814080274,3.039295936,3.339527227,5.745253425,5.677981735
263,3.039935272,5.26573982,3.24591059,2.32901048,3.481542036
264,3.987668431,5.399924408,3.526241072,2.727014582,4.461176472
265,3.241261459,5.311999541,2.525417679,1.964587429,3.958969204
266,4.406676762,4.546667322,3.955345725,3.264341783,2.295564335
267,4.417031682,5.784799421,4.021510084,4.685345758,5.329301712
268,3.445074727,4.251199763,2.410633618,4.54882061,3.643363033
269,3.651562924,4.407792484,4.875281902,4.158817079,4.127906039
270,4.273527054,4.960518964,3.64658722,2.807211246,4.299439092
271,2.733559888,3.680483677,3.218430469,4.208889219,3.201888021
272,3.334219004,4.815479716,2.793853609,2.331820381,3.225287792
273,2.789105989,4.768450548,4.069078582,3.479253634,3.800609272
274,4.077111342,5.474348396,3.675911086,3.328327415,3.620558917
275,4.68050478,4.548019159,3.681610638,3.645745861,5.185179219
276,3.018857396,3.790858191,5.120074008,4.992125985,4.600453684
277,3.476943103,3.504048676,2.553030848,4.604204859,4.372512164
278,3.486051086,4.01082089,4.000154362,4.171873586,2.748908472
279,3.771971516,3.069646428,3.620268653,4.338500126,4.602765495
280,4.747036625,5.269816359,4.481317381,3.195059305,2.966267929
281,1.872537509,3.211553812,1.790219833,3.061540188,3.330701329
282,3.525424313,3.552798403,2.95322435,4.215733733,3.45703064
283,4.317275855,5.877590259,4.527995733,4.117798506,6.024071664
284,4.122707822,4.499946756,2.73005214,3.245090602,3.771447211
285,3.394663595,2.505209388,4.776588137,5.277114526,4.592903824
286,3.719791882,4.591400444,2.87719801,2.767073017,3.726107572
287,4.692018404,3.139174212,4.652749876,5.152261162,4.080230764
288,3.679994763,3.947271495,3.072385638,2.104551188,2.928167573
289,7,2.496161255,5.238203324,6.971577652,5.953954877
290,3.930784088,4.935337764,4.122767659,3.687780561,3.190444529
291,3.705061614,4.820744688,3.475734754,3.60115231,4.985125191
292,3.671903897,3.198615973,3.559723777,4.245552639,3.911015498
293,4.454543302,3.93760849,5.0979913,4.540265624,1.266035642
294,4.331686195,4.305402928,3.038340918,4.854073613,3.984434324
295,3.313959301,3.69002659,3.630444513,3.47476961,3.981405478
296,4.051958252,4.783618644,3.312669322,5.015919061,3.864171232
297,4.638931213,4.716922938,2.728604856,3.551766553,2.726039531
298,5.381586654,5.350606228,2.738617304,3.190055215,3.820295641
299,3.280578698,3.496501021,2.798790465,3.822532168,3.94884078
300,4.22119569,4.676429573,3.092603256,4.125683862,2.29076151
