ID,sym_1,sym_2,sym_3,sym_4,sym_5,anger_1,anger_2,anger_3,anger_4,anger_5,SSOE_1,SSOE_2,SSOE_3,SSOE_4,SSOE_5,SSOE_6,WPSS_1,WPSS_2,WPSS_3,WPSS_4,WPSS_5,WPSS_6,GWPH_1,GWPH_2,GWPH_3,GWPH_4,GWPH_5,stability,onset,effort
17,1,1,7,1,1,7,7,7,7,7,6,6,7,7,6,6,91,90,91,90,91,90,98,98,94,95,95,0,0,1
18,6,7,7,6,5,2,2,3,1,3,3,2,5,2,1,2,94,91,95,82,100,94,43,34,34,66,62,0,0,0
19,3,3,3,3,2,4,4,5,4,4,2,1,2,2,1,1,90,93,95,94,94,94,46,59,52,56,48,1,1,1
20,6,2,6,6,2,6,6,2,4,6,2,2,2,3,4,2,19,40,100,80,90,80,100,100,100,100,100,1,1,1
21,5,4,5,2,1,3,4,3,3,3,5,5,5,3,2,2,94,95,98,97,97,95,80,26,52,48,53,0,0,1
22,4,4,4,4,4,7,7,7,5,7,1,1,1,1,1,1,100,100,100,100,100,100,50,100,100,50,50,1,1,0
23,5,7,6,5,1,1,5,1,1,1,6,6,5,4,3,4,60,100,100,100,59,59,39,39,39,39,40,1,0,0
24,3,3,3,3,4,7,6,6,6,6,1,1,1,4,5,4,100,91,59,76,50,74,100,100,100,100,100,0,1,1
25,5,5,5,4,2,2,3,2,2,4,5,4,5,4,3,2,80,89,81,93,77,82,41,30,47,40,41,1,0,0
26,2,2,1,1,1,5,6,2,4,7,4,4,5,4,3,3,100,100,100,63,100,65,68,65,66,58,80,0,0,1
27,3,7,7,5,4,1,2,1,1,1,4,2,2,5,4,1,100,100,100,100,91,100,80,30,29,61,70,1,1,0
28,6,6,7,7,5,2,2,2,1,2,4,3,4,4,5,5,69,30,74,54,74,68,17,68,24,17,71,1,1,1
29,3,2,3,3,3,7,7,6,6,7,2,2,2,1,2,2,100,100,100,100,100,100,100,100,100,100,100,1,0,1
30,3,4,4,3,2,2,2,1,1,3,2,2,1,2,1,1,100,100,100,39,100,98,100,100,100,91,90,1,1,0
31,7,7,7,7,7,1,2,2,1,2,6,5,6,6,5,5,30,67,79,67,83,68,100,100,92,100,100,0,1,0
32,7,7,7,6,7,6,4,2,1,5,5,7,4,7,6,3,73,26,86,15,95,64,77,28,90,60,13,1,1,1
33,7,7,7,7,7,1,1,3,1,1,3,2,2,5,3,3,38,20,83,80,93,100,80,100,100,100,99,0,1,0
34,7,7,7,7,6,2,5,1,2,2,7,7,7,7,7,7,29,61,100,86,0,79,100,100,13,81,100,0,1,0
35,4,5,4,5,3,1,1,1,1,3,5,4,5,5,5,4,68,64,61,68,83,84,100,100,100,100,100,1,0,1
36,2,3,3,3,2,5,5,6,5,6,3,3,2,3,4,3,69,62,77,73,66,77,97,95,96,94,87,1,1,1
37,6,2,4,6,6,7,7,7,7,7,7,7,7,7,7,7,3,96,94,97,94,96,100,100,100,100,100,0,1,1
38,3,2,5,4,1,1,2,2,1,3,5,5,6,7,6,5,100,100,96,96,96,99,86,90,93,89,86,0,1,1
39,7,7,7,7,7,5,5,5,6,5,7,7,7,7,6,6,100,100,100,100,100,100,74,75,80,74,74,0,0,1
40,3,2,3,4,3,3,4,4,4,4,7,6,7,6,7,6,70,70,70,70,70,70,49,49,49,50,50,1,1,0
41,6,4,6,6,5,5,4,5,2,5,5,4,3,6,4,5,20,62,59,20,91,44,58,59,42,65,55,0,0,1
42,7,7,7,7,7,4,4,4,1,4,1,1,1,1,1,1,100,100,100,100,100,100,59,100,50,98,95,1,0,1
43,6,5,6,7,6,2,5,2,1,4,5,5,5,5,5,5,56,46,62,52,63,46,66,27,56,56,39,1,1,1
44,4,6,1,1,1,2,6,7,2,6,6,6,6,6,6,6,93,99,100,100,100,100,100,100,100,89,98,0,1,1
45,3,4,3,2,2,7,7,7,7,7,3,3,2,3,5,5,100,100,100,100,100,100,100,100,100,100,100,1,1,1
46,4,6,6,5,5,1,3,3,1,3,1,1,2,2,2,1,80,91,90,50,91,91,70,50,30,50,30,1,0,0
47,5,6,5,5,6,5,7,5,5,5,4,4,5,5,5,4,19,80,70,59,90,59,100,90,80,85,86,1,1,0
48,7,7,7,7,7,5,7,4,4,5,2,2,2,2,2,2,100,99,100,100,100,100,100,100,100,100,100,1,1,1
49,7,6,7,7,7,5,5,5,5,5,1,1,1,3,2,2,100,100,100,100,100,100,100,100,81,100,100,1,1,0
50,6,7,5,6,5,7,7,6,4,7,6,5,7,6,6,7,60,70,50,81,60,80,70,80,60,91,70,1,1,0
51,3,3,3,5,2,4,4,4,3,6,1,1,1,1,1,1,100,100,100,100,100,100,100,100,79,100,100,1,0,1
52,5,5,5,5,4,6,5,6,5,6,2,2,2,3,2,2,70,45,53,66,69,65,55,46,31,47,54,0,0,1
53,4,6,5,5,4,7,7,6,5,7,1,1,1,2,1,1,97,100,100,98,98,100,99,80,50,97,91,1,1,1
54,6,7,7,6,7,3,3,4,1,2,7,3,5,6,3,3,60,69,79,21,70,80,100,100,80,69,100,0,1,1
55,2,2,2,2,2,4,4,5,5,5,4,4,4,5,5,4,89,91,91,100,100,90,100,81,58,90,100,0,0,1
56,6,7,6,6,1,2,4,1,2,5,5,5,5,6,5,2,65,56,75,34,56,38,80,80,56,86,84,1,1,0
57,7,7,5,6,5,7,4,3,7,6,4,7,3,3,6,5,54,60,84,50,100,52,92,95,62,100,92,1,0,1
58,5,6,6,7,6,6,5,7,6,7,5,6,7,6,5,7,74,76,70,80,73,69,61,68,69,60,73,1,0,1
59,6,5,5,4,4,7,6,6,5,7,1,1,1,2,2,2,100,100,100,60,100,100,100,100,100,100,100,1,1,0
60,4,4,7,6,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,70,49,100,100,1,1,0
61,2,3,4,3,2,5,5,5,2,6,3,2,2,2,2,1,60,50,40,60,41,59,50,58,57,56,39,0,1,0
62,7,7,7,6,6,6,5,6,5,5,4,3,4,4,6,1,96,92,92,69,77,66,54,57,74,61,76,1,0,1
63,5,7,5,5,5,2,2,2,1,6,4,1,4,4,4,4,81,50,50,24,100,9,50,50,71,100,50,1,1,0
64,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,1,1,0
65,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,1,0,0
66,2,4,3,2,3,4,2,5,3,6,2,2,2,2,2,2,98,98,98,99,98,99,100,100,82,93,99,1,0,1
67,3,3,4,2,1,2,2,1,1,4,3,4,3,4,3,1,98,81,90,69,91,81,75,65,50,74,80,0,0,1
68,4,4,4,4,3,1,2,2,1,2,4,4,5,5,4,5,58,59,59,56,59,57,43,50,48,53,51,1,1,0
69,5,5,6,7,6,6,7,7,6,6,6,6,7,6,6,7,79,70,69,75,73,75,77,81,78,74,73,1,0,1
70,5,6,5,5,6,3,5,4,2,4,2,1,2,3,1,2,41,62,32,79,79,62,50,38,70,60,41,1,1,0
71,7,7,7,7,7,7,7,7,1,7,1,1,5,5,5,6,100,100,100,100,100,100,100,100,50,100,100,1,0,1
72,5,5,5,4,5,5,6,6,5,4,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,1,0,1
73,7,7,7,7,7,1,7,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,1,0,0
74,2,4,4,2,3,3,2,3,1,4,2,2,2,3,2,3,89,52,35,100,80,73,50,56,50,50,19,0,1,0
75,7,7,7,7,6,1,1,1,1,1,7,7,7,7,7,7,68,65,61,59,70,66,76,60,78,77,84,0,0,1
76,4,4,4,3,2,5,6,5,4,5,3,4,4,4,2,4,80,40,40,59,50,39,50,50,19,50,50,0,1,0
77,5,5,5,5,4,2,2,2,2,2,3,3,2,4,4,3,60,35,65,56,42,69,64,39,58,35,36,1,0,1
78,6,6,7,7,6,3,4,3,3,5,5,5,6,6,6,6,61,68,70,49,80,82,100,100,100,80,100,1,1,1
79,2,3,2,2,1,4,4,4,4,7,2,2,2,2,3,2,78,90,100,60,100,100,85,84,85,59,70,0,1,1
80,3,5,3,5,2,7,6,6,2,7,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,99,100,1,0,0
81,5,4,4,5,5,1,1,1,1,1,4,2,2,2,1,2,68,65,70,72,73,77,90,87,86,83,82,1,0,0
82,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,100,100,100,91,100,100,100,99,80,100,100,1,1,0
83,7,7,7,7,7,3,3,6,1,5,2,2,2,2,2,2,54,72,100,100,100,100,100,100,100,99,100,0,1,0
84,7,7,5,7,7,7,1,1,1,7,1,1,1,1,1,1,100,100,100,100,100,100,100,100,20,100,100,1,1,0
85,4,3,3,2,2,3,3,3,1,4,2,2,5,4,2,2,81,80,80,80,81,80,50,50,60,50,50,1,1,1
86,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,50,50,50,50,49,50,50,49,48,50,50,1,1,0
87,3,5,4,3,2,2,2,2,1,4,3,2,2,5,4,2,100,100,100,100,100,100,100,100,100,100,100,1,0,0
88,6,6,6,7,7,7,5,6,7,7,7,6,7,7,5,7,93,84,97,84,91,91,95,83,95,90,88,1,0,1
89,4,4,4,4,4,4,4,4,4,4,2,4,2,3,3,3,45,52,49,54,49,53,62,50,50,53,52,1,0,0
90,3,3,4,3,2,2,1,2,1,3,4,5,6,5,5,6,75,80,70,61,77,78,70,80,75,69,75,0,0,1
91,6,6,6,6,6,2,4,2,2,4,4,5,5,5,4,4,36,39,78,71,70,53,82,76,75,74,77,0,0,1
92,2,6,3,4,4,1,1,1,1,1,4,4,4,4,3,4,67,51,51,87,73,59,72,67,72,80,71,0,0,0
93,2,3,4,1,1,4,5,5,3,6,2,2,1,1,3,2,80,50,69,93,24,50,29,39,80,50,64,1,1,0
94,6,6,7,6,6,3,1,3,1,1,5,3,6,5,2,5,68,50,50,72,59,55,81,69,65,89,74,0,0,0
95,4,3,5,1,2,3,3,4,1,3,2,2,4,5,4,3,81,60,80,60,60,60,53,34,66,34,35,1,0,1
96,2,4,4,3,1,4,5,5,2,5,5,4,5,4,4,5,40,60,50,60,70,60,50,40,50,60,40,1,0,0
97,7,7,7,7,7,1,1,1,1,1,5,5,5,5,5,5,60,69,100,80,60,70,100,100,100,100,100,1,1,0
98,6,6,7,6,6,3,1,2,2,4,5,4,5,4,1,4,77,87,14,89,82,87,20,35,50,71,60,0,0,1
99,7,7,7,7,7,7,5,6,5,5,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,100,100,1,0,1
100,6,5,6,6,6,5,7,5,6,6,2,2,2,2,2,2,80,91,100,81,100,100,91,100,80,100,100,1,0,1
101,7,5,7,4,1,1,1,1,2,7,2,1,4,2,7,5,74,69,100,0,99,98,100,100,100,100,100,1,0,1
102,7,7,7,6,3,1,1,2,1,2,1,1,1,1,1,1,100,100,100,100,100,100,93,81,50,80,81,1,0,1
103,2,5,2,1,4,3,4,3,2,3,5,6,5,4,5,5,71,72,83,79,86,79,82,93,85,91,86,0,1,0
104,4,1,2,1,4,5,5,6,4,6,6,6,5,6,6,6,76,72,67,82,79,89,73,85,85,74,75,0,1,0
105,1,4,3,3,2,4,5,5,2,6,1,1,1,4,2,1,70,60,71,96,15,50,30,49,70,50,50,0,0,1
106,3,3,5,3,2,6,5,6,6,7,1,1,1,2,2,1,94,94,94,99,91,90,70,73,77,80,82,1,0,0
107,5,5,5,5,5,6,6,6,6,6,2,2,2,2,2,2,99,100,100,100,100,99,99,100,100,100,99,1,0,1
108,5,5,5,5,5,1,1,1,1,1,1,1,2,2,1,1,98,96,97,100,100,99,100,100,87,98,99,1,0,0
109,5,6,6,7,7,2,2,1,1,3,5,4,4,6,6,3,28,60,59,55,70,90,80,70,59,90,90,0,0,1
110,6,6,6,6,6,2,2,3,2,2,1,1,1,1,1,1,81,81,81,80,80,80,70,70,28,70,71,1,0,1
111,2,4,3,3,1,6,6,5,1,6,2,2,2,2,2,2,90,90,90,91,90,91,90,90,90,90,81,1,0,1
112,6,2,6,6,4,2,6,5,2,6,6,6,6,7,7,7,71,60,89,22,71,91,90,82,90,91,100,0,0,0
113,5,5,5,5,1,1,1,1,1,1,5,6,6,6,6,6,100,100,99,100,100,100,100,100,100,100,100,1,1,1
114,4,2,3,3,3,3,2,3,3,3,3,4,3,4,3,3,61,45,59,58,64,65,58,60,62,61,58,0,0,0
115,6,6,6,6,3,1,1,1,1,1,2,2,2,2,1,1,92,91,94,52,65,58,90,81,70,91,100,0,0,0
116,4,6,4,5,5,2,3,5,6,4,1,1,7,5,3,3,71,46,62,24,84,65,60,39,14,53,58,1,0,1
117,7,7,6,7,7,4,6,6,1,4,2,2,2,4,1,1,100,100,100,100,100,100,100,100,100,100,100,0,0,0
118,6,6,6,6,6,1,1,1,1,1,4,4,4,4,4,4,63,65,63,56,62,62,51,56,52,61,62,0,0,1
119,3,3,4,2,3,3,2,2,2,2,4,3,4,3,3,3,73,56,65,70,73,70,61,42,53,59,58,1,0,0
120,4,5,6,4,4,6,6,6,5,7,6,6,6,7,5,6,72,58,58,98,98,79,96,100,100,100,88,0,0,1
121,7,7,7,7,7,1,1,1,1,1,7,7,7,7,6,6,23,100,100,16,100,71,100,66,33,100,100,1,0,0
122,3,3,3,3,3,7,7,7,7,7,2,1,2,2,4,4,70,40,80,59,81,82,82,60,30,60,63,1,1,1
123,6,6,6,6,6,5,5,5,3,5,4,4,4,5,3,3,60,60,60,70,60,71,70,60,60,61,100,1,0,1
124,7,6,6,7,4,4,4,4,1,5,1,1,1,5,1,1,98,100,100,100,100,94,90,50,50,67,100,1,0,0
125,6,6,6,6,2,4,4,4,4,4,1,1,1,1,1,1,100,95,90,66,100,100,95,99,99,97,98,0,1,1
126,5,3,5,5,5,2,2,2,2,3,5,5,5,5,5,5,58,68,79,58,68,72,93,93,85,93,89,1,1,1
127,3,3,3,4,3,5,5,5,5,5,3,3,3,3,3,3,56,61,77,81,94,86,96,86,87,97,98,1,1,1
128,6,6,3,3,6,4,7,7,6,5,6,5,6,5,6,5,37,70,75,70,86,84,60,60,52,52,53,1,0,1
129,5,4,4,4,4,6,6,6,6,6,7,7,7,7,6,7,100,100,100,100,100,100,100,100,100,100,100,0,1,1
130,3,3,3,3,3,5,6,5,2,6,4,4,4,4,4,4,28,60,71,70,80,70,90,90,50,81,81,1,1,1
131,4,4,4,4,4,6,6,6,2,6,7,7,7,7,7,7,100,100,100,100,100,100,90,100,100,49,91,0,1,1
132,6,4,6,5,5,4,4,3,1,5,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,0,1,1
133,4,5,2,5,4,2,2,4,1,2,1,1,1,2,1,1,62,71,65,76,67,71,65,69,70,66,78,0,0,0
134,5,5,5,5,5,6,5,5,2,5,1,1,1,1,1,1,100,100,100,100,100,100,80,100,81,100,100,1,1,1
135,3,7,6,7,4,6,5,5,3,5,7,7,7,7,7,7,36,62,70,84,84,88,85,89,84,88,92,1,0,1
136,2,3,4,2,3,4,6,5,5,5,6,5,4,5,6,5,33,69,68,58,84,62,62,67,53,49,54,1,0,1
137,4,4,6,6,1,1,3,1,1,2,6,6,6,7,7,7,100,100,100,100,100,100,80,90,80,100,90,1,1,1
138,3,3,3,2,2,6,6,5,5,6,6,4,5,5,6,4,81,91,91,62,82,91,93,80,100,90,80,1,1,1
139,5,6,7,7,5,1,1,1,1,1,1,1,1,2,1,1,100,100,90,100,100,96,96,91,91,95,100,1,1,0
140,2,2,2,4,2,4,7,7,6,7,5,5,5,5,5,2,91,71,90,90,90,71,91,91,70,71,91,1,1,1
141,5,5,5,5,3,3,2,2,1,2,3,1,1,3,1,1,70,60,80,40,70,60,60,65,70,55,60,1,1,0
142,4,3,3,3,4,4,4,4,4,4,5,4,3,4,5,5,60,43,59,74,61,41,63,42,44,59,43,1,0,1
143,4,5,4,4,4,5,5,5,3,5,6,6,6,6,5,6,88,85,90,91,93,94,60,61,60,61,63,0,1,0
144,2,2,3,4,5,4,5,4,6,7,3,5,7,4,7,4,100,100,100,100,99,100,100,99,100,100,100,1,1,0
145,3,3,4,2,3,4,5,4,4,4,2,2,2,3,3,2,70,77,80,81,81,79,91,91,90,86,84,0,1,1
146,5,5,5,5,5,3,5,3,3,3,5,5,4,4,4,4,55,55,57,72,39,52,59,43,59,86,56,0,0,0
147,7,7,7,7,7,5,6,5,5,5,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,100,100,1,1,0
148,6,7,7,6,3,2,5,3,1,2,1,1,1,1,1,1,90,91,91,93,93,94,40,40,90,95,86,1,1,1
149,3,4,3,4,2,4,5,6,5,5,2,2,4,4,3,2,100,100,100,100,100,100,100,100,80,100,100,0,1,1
150,2,3,2,3,2,6,5,5,2,6,1,1,1,4,3,2,88,97,100,35,86,95,65,36,79,73,85,1,1,1
151,4,6,4,3,4,2,2,1,1,2,4,4,4,5,4,4,72,48,87,91,50,57,48,55,50,50,50,0,0,0
152,4,4,4,4,4,6,6,6,2,6,5,5,5,5,4,4,100,100,100,100,100,100,91,60,50,81,72,0,0,1
153,6,6,6,6,6,5,5,5,3,5,5,5,5,5,5,5,60,80,90,60,69,81,61,59,49,60,60,1,1,0
154,4,7,7,5,7,7,5,5,5,7,7,7,7,7,7,7,100,100,100,100,100,100,100,100,78,100,100,1,0,1
155,4,6,5,6,6,1,1,1,1,4,1,1,1,1,1,1,91,90,100,90,100,89,90,89,97,91,90,1,0,1
156,5,3,5,5,5,7,7,6,7,7,5,2,5,6,5,4,100,100,100,100,100,100,100,100,91,100,100,0,1,1
157,7,7,7,7,7,1,1,1,1,1,6,4,7,7,7,7,100,100,100,100,100,100,100,64,100,0,100,1,0,0
158,2,5,2,6,2,2,1,2,2,2,3,2,2,3,2,3,75,81,73,84,81,85,76,70,83,77,92,1,1,0
159,5,5,5,5,5,6,3,6,3,6,1,1,1,3,3,1,100,100,100,100,100,100,100,100,100,100,100,1,0,0
160,7,6,5,6,6,6,7,5,5,7,4,6,5,7,6,7,70,82,91,70,90,80,71,89,80,90,78,1,0,1
161,6,5,5,6,5,1,1,2,1,2,4,3,6,6,2,4,100,100,100,70,100,80,50,50,24,85,85,1,0,0
162,7,7,7,7,7,3,1,3,2,3,2,1,2,2,1,3,86,91,90,60,91,90,80,75,76,86,80,1,1,0
163,3,3,2,3,4,6,4,5,4,4,5,5,4,5,4,4,88,92,92,91,92,91,99,96,97,97,98,0,1,1
164,7,7,7,6,6,2,1,2,1,2,6,1,7,6,2,4,10,90,100,8,100,100,90,91,81,81,85,0,1,1
165,4,5,5,5,3,2,3,4,2,4,5,3,5,5,3,2,100,100,100,100,100,100,91,60,50,70,60,0,0,0
166,6,5,6,5,4,5,7,6,2,6,5,5,5,6,6,5,70,86,90,95,81,91,30,63,73,68,66,0,0,0
167,6,7,6,6,6,3,3,4,2,3,6,6,6,6,2,6,100,90,90,100,100,100,70,70,64,60,59,0,1,1
168,5,6,6,5,4,1,5,2,1,2,3,2,4,3,4,2,100,8,56,89,90,61,91,83,76,86,91,1,0,1
169,4,5,5,4,4,6,6,6,6,6,6,6,6,6,6,6,100,100,100,100,100,100,80,80,81,81,91,0,0,1
170,4,4,5,4,3,7,6,7,5,7,5,5,5,6,4,4,100,70,100,100,100,60,100,100,100,100,100,0,1,1
171,5,7,6,4,5,5,5,7,6,5,5,5,6,6,6,5,68,82,81,87,35,57,89,81,70,70,64,1,0,1
172,5,5,7,4,4,1,1,3,1,4,3,2,6,4,4,3,100,78,78,98,100,71,49,48,50,76,50,1,0,1
173,7,2,2,3,4,7,7,6,5,7,5,5,5,5,5,5,69,34,89,91,100,100,100,100,100,60,100,1,1,1
174,7,7,5,5,6,7,6,6,6,6,6,5,6,6,7,5,94,91,76,85,91,99,100,90,91,96,84,1,1,0
175,5,5,5,4,1,6,5,6,2,6,5,5,5,7,4,4,66,73,78,83,71,84,88,100,100,95,100,0,0,0
176,3,6,5,5,3,1,1,1,1,2,5,3,5,5,3,4,70,71,50,60,69,70,60,50,60,50,70,0,0,0
177,7,7,6,7,7,4,5,4,4,5,2,2,2,3,3,3,95,95,96,98,96,95,91,93,94,89,88,1,0,0
178,5,5,4,2,2,4,5,5,3,3,2,2,2,2,1,2,54,100,90,58,70,53,46,60,50,40,50,1,1,0
179,7,7,7,7,7,1,6,3,1,3,2,2,2,2,2,2,100,100,100,100,100,100,100,100,100,100,100,1,0,1
180,6,6,7,6,4,1,4,1,1,2,1,1,1,3,2,2,100,100,100,100,100,100,88,74,49,84,83,1,0,1
181,4,5,4,4,2,5,4,5,2,4,1,1,1,1,1,1,87,91,93,85,95,10,81,35,50,72,52,1,1,1
182,3,2,2,3,3,7,7,7,6,6,3,3,4,4,4,5,88,79,84,86,69,83,81,70,65,84,76,1,1,1
183,5,3,3,3,3,5,7,6,5,6,5,5,5,5,4,2,44,100,98,42,0,100,60,37,29,73,70,0,1,0
184,4,4,5,5,4,6,6,5,5,7,2,2,2,2,2,3,100,100,100,100,100,100,91,91,70,91,91,1,1,1
185,2,7,5,2,2,7,6,7,4,6,2,2,2,4,2,3,70,70,70,100,60,29,91,60,9,60,60,0,1,0
186,3,4,4,3,4,3,3,3,3,4,3,4,4,4,4,4,70,56,56,47,81,58,70,73,74,73,70,0,1,1
187,7,4,7,7,5,5,5,1,1,4,1,1,1,2,2,2,100,100,100,100,100,100,100,100,100,100,100,1,1,1
188,7,3,6,6,4,1,3,2,7,5,5,3,6,4,7,5,3,95,28,85,73,91,77,23,41,69,56,1,0,0
189,6,4,5,5,3,4,5,5,2,6,5,6,6,7,5,5,74,89,77,85,95,74,39,62,53,69,59,0,1,1
190,6,5,7,6,5,3,5,5,2,5,5,5,5,5,4,4,81,100,100,91,91,90,70,70,29,70,70,0,1,1
191,6,6,6,7,6,4,7,7,5,5,5,7,6,5,7,6,70,82,92,80,90,80,80,90,82,69,81,1,0,1
192,7,6,7,7,7,5,6,6,4,6,6,6,6,7,5,4,90,99,99,84,98,95,98,99,96,98,99,0,0,1
193,4,2,4,4,4,6,6,6,6,6,2,2,4,4,4,3,100,100,100,100,100,100,100,100,50,90,91,0,1,1
194,6,7,7,6,7,3,1,2,2,2,6,5,6,6,1,5,100,80,100,100,100,81,59,70,29,60,100,1,0,1
195,6,3,5,4,6,3,6,6,3,3,4,4,2,5,5,6,29,43,75,62,64,77,23,65,59,79,64,0,0,0
196,5,6,6,7,6,2,2,3,1,2,2,1,3,2,1,1,90,60,60,100,100,40,70,80,80,80,80,1,0,1
197,3,3,3,3,3,7,5,7,6,7,3,3,4,4,5,3,85,84,97,99,91,83,90,89,39,76,77,1,1,1
198,4,4,4,3,3,5,2,2,4,5,4,4,4,4,4,4,29,50,70,70,59,69,60,59,50,60,58,0,1,1
199,4,4,4,4,4,7,7,7,7,7,5,5,5,5,4,5,91,91,91,90,91,90,100,80,70,91,90,0,1,1
200,6,7,6,7,6,1,1,2,1,1,5,5,5,5,6,6,63,75,77,58,41,82,73,75,68,81,83,0,0,0
201,3,4,4,4,3,2,5,2,2,5,3,1,3,5,5,4,100,100,100,100,100,100,100,100,100,100,100,1,1,1
202,5,5,6,5,4,3,2,2,1,3,2,2,3,3,1,1,71,81,68,56,63,59,62,35,62,64,63,1,0,0
203,3,3,3,3,1,5,7,5,5,7,4,4,4,4,4,4,80,70,70,80,80,70,60,60,50,60,70,1,1,1
204,6,5,6,6,7,2,4,4,1,2,2,1,2,1,2,1,100,100,100,100,100,100,100,100,100,100,100,0,0,1
205,4,4,4,4,4,5,5,5,5,5,2,2,3,3,3,2,100,100,100,100,100,99,100,100,100,100,100,1,1,1
206,3,4,4,3,2,4,4,5,2,5,4,4,5,5,5,4,59,55,72,63,63,59,53,53,45,73,58,0,1,0
207,7,6,6,6,6,5,5,7,5,7,6,5,6,7,7,5,100,100,100,100,100,100,98,100,100,99,99,0,1,1
208,5,5,5,5,5,2,4,2,1,3,3,3,4,4,4,4,70,70,60,60,59,70,50,50,39,50,59,1,0,0
209,5,4,5,4,4,3,5,6,3,6,1,3,3,1,2,3,66,31,79,62,98,91,84,38,50,36,50,1,1,0
210,6,6,6,5,6,3,2,3,2,3,4,2,4,4,3,2,100,100,100,80,100,80,60,70,38,70,70,0,0,0
211,5,3,5,4,4,6,4,6,3,6,2,2,2,2,1,1,75,92,86,97,90,91,81,82,20,81,62,1,0,1
212,4,4,4,4,3,2,4,3,2,3,4,4,4,4,4,4,61,81,56,64,66,64,50,50,50,51,50,1,1,0
213,3,6,5,3,2,2,2,1,1,1,6,4,5,5,4,6,80,70,80,70,80,80,80,80,60,75,71,0,0,0
214,2,5,5,5,4,2,2,2,1,3,4,4,4,4,4,4,60,50,50,81,70,60,60,60,50,70,55,0,1,1
215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,46,55,61,76,87,76,60,53,55,50,1,0,0
216,7,5,6,7,6,1,1,1,1,2,2,2,1,3,2,1,100,100,100,100,100,100,100,100,100,100,100,1,0,1
217,5,2,4,4,4,6,5,6,5,7,6,7,6,4,4,6,100,99,98,100,100,100,100,90,92,100,98,0,1,1
218,4,4,4,4,3,5,4,3,1,5,3,3,4,3,2,3,90,91,96,86,88,96,81,39,39,79,68,0,1,1
219,7,6,7,6,6,1,2,2,4,3,4,4,6,5,6,6,29,76,76,66,86,75,94,85,87,75,85,1,1,1
